"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"	"E41"	"E42"	"E43"	"E44"	"E45"	"E46"	"E47"	"E48"	"E49"	"E50"	"E51"	"E52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"H72"	"H73"	"H74"	"H75"	"H76"	"H77"	"H78"	"H79"	"H80"	"I89"	"I90"	"I91"	"I92"	"I93"	"I94"	"I95"	"I96"	"I97"	"I98"
"HMR_3905"	1187.699600331	3615.794538096	2317.651666976	4981.071661758	1524.88668759	2445.179863951	1554.15527197	1997.551311936	2017.328292624	1388.83759132	1669.727241706	3491.835226091	886.201953839	950.13390506	5847.974708671	1683.146390284	1818.971935811	3360.002533278	1716.306592562	8048.424600617	6130.835658925	2034.886697297	3463.20888108	8558.627895625	9098.713047401	4379.128604757	10816.432071953	5522.347108178	2867.617450379	1680.95965545	1515.230201301	1526.57669819	5191.059480652	953.54555277	2235.74351504	860.86124586	2422.884143021	1024.685371962	3106.33631742	9169.250604515	6005.29981703	9017.115241561	12620.530298538	12689.055619674	17481.263990845	15818.548031679	13245.546987343	6480.731423656	10273.190792775	5392.233294767	8845.564380897	14332.706151443	2574.290452451	13995.233890777	15413.354312133	14240.542244885	17260.843092392	13348.978308969	11096.732470951	17870.19285282	11974.735482251	14422.721033843	14768.835811141	14193.080073574	14558.432281232	13999.703622397	13456.675906406	11965.35435511	10828.271494585	14574.455511492	10860.940381895	11681.159181167	11460.329154982	14320.10759662	13581.242651192	14651.912941987	14676.534319305	7217.187710819	11058.434434782	14625.154147066	12360.078502223	12225.850282433	15741.936408623	15535.922991137	15504.299762509	13944.525413236	11482.020500805	10946.561849366	14183.804028515
"HMR_3907"	71.12387143	72.19130113	126.71917221	100.77895401	102.20973741	86.7001369	115.59712731	114.71687211	91.87293526	86.21290698	77.65797749	90.12907479	85.39682069	106.17639871	150.83011691	110.26626791	75.70072269	131.64199851	126.98618781	100.46456641	99.55489772	81.91609017	104.68478171	117.57838341	104.93584311	113.50927911	119.57564421	159.99637281	129.71801831	94.8469044	82.20313542	65.38454813	94.44104519	53.26882373	77.46098566	72.05254035	66.37477172	80.43202039	92.37929147	165.77414991	147.19741441	148.09540341	157.81864631	129.67763421	106.97510961	141.42090151	133.73637621	140.37255211	120.96410621	163.35895771	124.98101791	126.93558431	99.02787636	141.72937001	121.87453331	164.88135451	146.61894711	127.10686661	124.61714231	126.53424201	122.92001081	160.99829161	121.54502751	133.22105451	139.17797651	124.95305181	127.28589701	132.20806631	123.80195171	99.59447153	121.90703261	142.51781631	124.77680081	111.26333121	155.93287031	119.24631821	124.53417871	126.10615011	118.96975971	98.06961983	80.53035877	85.48653969	107.83200331	107.71895211	107.13707401	111.90531871	99.86639843	64.20924132	88.40095653
"HMR_4097"	40.23865983	40.46954213	38.04045327	70.91852316	41.70983222	80.1789948	45.97777838	41.72687417	35.49064075	32.09529757	53.2788619	53.04959398	30.81261988	40.22091509	172.39127721	33.22260279	31.61447807	64.1972213	41.316383	60.56588944	41.8743216	39.6837948	45.90910799	119.09126921	57.65843109	43.81260236	58.14251793	67.73024295	41.59635557	39.04039672	57.725775	40.17432513	39.67523275	47.807509	58.99775041	32.61210508	48.18786066	40.34260835	37.62487734	401.08508111	650.15147151	69.1859839	54.23133932	68.33374934	58.92696714	56.68075872	49.95354006	102.47911271	35.89439354	43.12942921	48.80018729	115.27136331	60.37225796	87.1065594	66.40525778	95.134892	78.3446477	54.55160715	50.42753766	67.02584794	44.82805042	77.60288026	61.94253952	85.75405693	98.35841759	69.16287568	70.87757426	82.00955143	169.48336101	54.6528473	58.33142594	61.46722838	52.34728917	47.22570733	63.30607982	68.16576825	68.4817076	95.24332913	145.21617681	75.99560191	66.93187559	57.81396893	74.80653219	69.15102089	75.147418	113.27025211	55.86609631	46.58394136	62.56498594
"HMR_4099"	99.87473913	109.39146976	123.137441191	111.161460119	96.79984824	139.17980427	125.024747509	143.07577123	93.43351662	77.719997471	124.8016977	140.80116319	109.68517514	181.33497308	155.28935687	117.48167809	97.03945952	119.11571141	174.31337694	87.20279029	64.389044625	126.10526992	120.555214818	117.22925587	71.72908943	104.640177118	124.10655869	109.525213783	204.784619962	132.34114679	119.53111006	106.035437	101.78645981	131.86974581	111.27707288	91.93663791	128.42642523	108.87440325	104.43007087	147.333456525	122.368934913	83.521818398	78.120660127	101.561686995	70.410170982	103.406256737	78.724249826	79.361731499	86.936221128	114.262458163	115.685744152	66.618334311	65.14991866	68.940716414	53.364304488	77.241069492	72.488762362	53.524371737	54.629832468	51.072777974	34.080202218	87.399072613	59.492367956	107.696348257	63.900348416	53.369778088	70.388013115	71.941882717	117.936245488	57.744761372	88.465295356	88.340501817	46.728717224	43.362775052	51.75007911	43.726151523	52.110903911	75.530946721	51.233006299	56.949713229	83.523439118	52.469364571	71.888002193	70.564605299	66.70570321	71.687842878	62.186447914	67.426868142	65.055473576
"HMR_4108"	40.23865983	40.46954213	38.04045327	70.91852316	41.70983222	80.1789948	45.97777838	41.72687417	35.49064075	32.09529757	53.2788619	53.04959398	30.81261988	40.22091509	172.39127721	33.22260279	31.61447807	64.1972213	41.316383	60.56588944	41.8743216	39.6837948	45.90910799	119.09126921	57.65843109	43.81260236	58.14251793	67.73024295	41.59635557	39.04039672	57.725775	40.17432513	39.67523275	47.807509	58.99775041	32.61210508	48.18786066	40.34260835	37.62487734	401.08508111	650.15147151	69.1859839	54.23133932	68.33374934	58.92696714	56.68075872	49.95354006	102.47911271	35.89439354	43.12942921	48.80018729	115.27136331	60.37225796	87.1065594	66.40525778	95.134892	78.3446477	54.55160715	50.42753766	67.02584794	44.82805042	77.60288026	61.94253952	85.75405693	98.35841759	69.16287568	70.87757426	82.00955143	169.48336101	54.6528473	58.33142594	61.46722838	52.34728917	47.22570733	63.30607982	68.16576825	68.4817076	95.24332913	145.21617681	75.99560191	66.93187559	57.81396893	74.80653219	69.15102089	75.147418	113.27025211	55.86609631	46.58394136	62.56498594
"HMR_4133"	40.23865983	40.46954213	38.04045327	70.91852316	41.70983222	80.1789948	45.97777838	41.72687417	35.49064075	32.09529757	53.2788619	53.04959398	30.81261988	40.22091509	172.39127721	33.22260279	31.61447807	64.1972213	41.316383	60.56588944	41.8743216	39.6837948	45.90910799	119.09126921	57.65843109	43.81260236	58.14251793	67.73024295	41.59635557	39.04039672	57.725775	40.17432513	39.67523275	47.807509	58.99775041	32.61210508	48.18786066	40.34260835	37.62487734	401.08508111	650.15147151	69.1859839	54.23133932	68.33374934	58.92696714	56.68075872	49.95354006	102.47911271	35.89439354	43.12942921	48.80018729	115.27136331	60.37225796	87.1065594	66.40525778	95.134892	78.3446477	54.55160715	50.42753766	67.02584794	44.82805042	77.60288026	61.94253952	85.75405693	98.35841759	69.16287568	70.87757426	82.00955143	169.48336101	54.6528473	58.33142594	61.46722838	52.34728917	47.22570733	63.30607982	68.16576825	68.4817076	95.24332913	145.21617681	75.99560191	66.93187559	57.81396893	74.80653219	69.15102089	75.147418	113.27025211	55.86609631	46.58394136	62.56498594
"HMR_4137"	32.140708011	26.81769877	32.58140121	26.25658572	31.50950692	29.99725368	29.10475562	34.67985858	30.05377664	26.02187972	29.3840996	30.45128347	38.3704323	31.18825196	38.56507539	33.4076133	28.54832947	30.21386838	36.50773812	28.18599721	24.10760139	34.35924894	36.29673205	25.79664302	27.76609914	30.83250036	35.43732046	30.92641259	40.03108038	35.65818414	32.59568497	30.21414251	39.52532633	33.27200978	34.98559135	31.4649456	37.1564556	34.98328695	30.7430108	29.00567398	43.80453178	20.56880603	34.78721026	28.6897421	25.38392431	35.08426567	24.16378294	10.4862348	25.91575214	39.35491031	28.99721274	46.00753558	11.72698537	30.87298438	36.54098138	36.07451993	31.27575121	36.76421493	29.64527972	42.57977669	34.35229964	44.210642	31.54940014	32.46563514	32.05212116	30.07344639	33.56213609	37.47410023	31.106018024	28.959476861	35.74110884	31.14781385	32.15380781	43.09073757	33.77407802	36.37175305	39.10131398	39.15927818	29.68994709	30.57366343	30.61426282	32.06762613	40.16818926	38.30049638	32.53493427	35.23835238	36.49337111	28.85442677	34.6851501
"HMR_4281"	556.749881356	520.581457204	534.96240012	503.851866901	565.395359248	499.51948503	557.389912557	520.7530979	705.684825384	572.728240526	535.533287545	435.587838651	409.220014357	623.935466556	248.345364734	440.245739453	498.870662898	392.142376105	459.510308457	347.224281948	324.640863333	433.199590113	386.09709999	255.095826244	272.282872968	386.738522876	379.888075323	328.062533542	514.975537281	500.760732075	567.95635299	508.302908332	498.638724774	621.203546051	429.631024165	445.043249607	498.83566505	610.582845208	446.960703336	245.107549633	331.637548179	230.495286898	290.916290871	312.50953613	230.469915843	293.278769944	326.775643933	172.307903524	309.553249811	336.681535116	275.625074278	306.997486385	156.359804802	236.460214241	266.361059967	292.433111298	274.605531815	374.562472044	269.328894293	318.487547932	298.286799852	430.947279045	375.89485982	362.943410637	410.27530651	438.213075749	371.413719829	477.095634216	306.083217318	331.66221914	307.470351597	296.633222891	241.598593901	261.645652676	280.56214372	284.094910058	203.147890376	367.89809986	197.163085685	241.289690695	267.326853774	250.246855625	219.350570776	206.593450521	190.322297023	239.882248156	254.727120574	264.392526209	262.106792257
"HMR_4388"	556.749881356	520.581457204	534.96240012	503.851866901	565.395359248	499.51948503	557.389912557	520.7530979	705.684825384	572.728240526	535.533287545	435.587838651	409.220014357	623.935466556	248.345364734	440.245739453	498.870662898	392.142376105	459.510308457	347.224281948	324.640863333	433.199590113	386.09709999	255.095826244	272.282872968	386.738522876	379.888075323	328.062533542	514.975537281	500.760732075	567.95635299	508.302908332	498.638724774	621.203546051	429.631024165	445.043249607	498.83566505	610.582845208	446.960703336	245.107549633	331.637548179	230.495286898	290.916290871	312.50953613	230.469915843	293.278769944	326.775643933	172.307903524	309.553249811	336.681535116	275.625074278	306.997486385	156.359804802	236.460214241	266.361059967	292.433111298	274.605531815	374.562472044	269.328894293	318.487547932	298.286799852	430.947279045	375.89485982	362.943410637	410.27530651	438.213075749	371.413719829	477.095634216	306.083217318	331.66221914	307.470351597	296.633222891	241.598593901	261.645652676	280.56214372	284.094910058	203.147890376	367.89809986	197.163085685	241.289690695	267.326853774	250.246855625	219.350570776	206.593450521	190.322297023	239.882248156	254.727120574	264.392526209	262.106792257
"HMR_4283"	48.964359861	39.365024056	38.213364415	37.840373527	24.117368344	25.339295031	19.242014513	26.223439863	28.694560614	21.084141639	25.670724376	32.876819455	36.820111795	30.165686324	15.729846512	39.010788948	37.042389769	29.112019055	36.064836616	3.324889761	8.82209556	34.58679364	22.028361525	12.723757765	10.631164092	19.222731709	20.224585043	13.387451611	32.204704437	38.943762077	39.245367881	49.514974854	37.876355693	29.07099844	35.010474403	57.467227033	26.348660081	39.920614539	29.120212574	6.531078918	5.320388484	11.094689319	8.374167687	6.363906436	3.626274909	6.101611429	7.136220017	42.898233247	12.563037744	6.938453871	10.305629621	5.459336431	5.211993502	8.143308932	6.676704976	5.845076299	3.682109725	9.785768982	11.002371861	5.508973813	6.598362514	8.092506732	7.956175085	6.269226103	7.951862129	5.38538578	14.14287745	15.241331817	17.863741784	14.936993334	10.448021666	9.311208189	7.955007822	7.181789604	5.916152269	6.028605568	6.940060066	7.234510724	7.055036941	8.52052916	13.881293925	8.193251354	15.488689939	12.855977097	18.620241716	10.112042207	5.351715347	9.209968281	19.424289653
