"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88555323051001e-09	-9.88595939949821e-09	-9.88822997690904e-09	-9.88730081960398e-09	-9.88704214498533e-09	-9.88649543296575e-09	-9.88788462617e-09	-9.88796213552716e-09	-9.88641259092823e-09	-9.88664856738941e-09	-9.88641316324286e-09	-9.88714759487836e-09	-9.88616431401283e-09	-9.88739902432372e-09	-9.63039659070668e-09	-9.88732346851674e-09	-9.88584961979021e-09	-9.88844229685014e-09
"HMR_3907"	1.74687292021001e-08	1.67880198277452e-08	2.11385390929713e-08	1.86427120679561e-08	1.95949532188204e-08	1.86448596368939e-08	1.87100214177994e-08	2.05127362641124e-08	2.05081427677987e-08	1.83353958009372e-08	1.6481566182439e-08	1.64162089677941e-08	2.01530425943868e-08	1.87502801123296e-08	2.01133817205604e-08	2.10435019921809e-08	1.87015621244306e-08	2.09260323327382e-08
"HMR_4097"	2.8367842919104e-05	2.18623969853708e-05	1.31341890991931e-05	2.43692283901552e-05	2.19069148797592e-05	2.2131208521489e-05	2.19022146058876e-05	2.23102015113569e-05	2.25736654905029e-05	1.44843479431745e-05	3.66848212063496e-05	3.61495337204552e-05	2.5195657759535e-05	2.95094480626582e-05	0.00015666670707535	2.16672527646851e-05	1.86503156131993e-05	2.93258133527218e-05
"HMR_4099"	1.52133364692822e-05	1.59478024113217e-05	1.25345469611712e-05	1.0734136687074e-05	1.7662250354021e-05	1.07028754436293e-05	2.06367702015838e-05	2.08509975490796e-05	1.44635179422959e-05	1.10035242470292e-05	2.89147142754791e-05	2.35998265504328e-05	2.28785543527002e-05	3.78308874610579e-05	9.2645198406641e-05	2.4401432836352e-05	1.84547760978651e-05	1.77866172108776e-05
"HMR_4108"	0.000958256737159545	0.000803781066336945	0.000587289411960546	0.00106785559043617	0.000842408343213438	0.00107285051964382	0.000819276926342394	0.00080563671515559	0.000792450488519725	0.000573280966214606	0.00124950472495413	0.00116232247542033	0.000794663152037976	0.000917748052862034	0.00235601078203142	0.000745792094549599	0.000690255457254609	0.00111951674303512
"HMR_4133"	0.000958256737135953	0.000803781066316727	0.000587289411896749	0.00106785558217143	0.000842408343192156	0.00107285051962302	0.000819276926321032	0.000805636715133629	0.000792450488500367	0.00057328096619252	0.00124950472493523	0.00116232247539795	0.000794663152018364	0.000917748052843685	0.00235601036182194	0.000745792094528618	0.000690255457233944	0.00111951674301137
"HMR_4137"	0.00103714705684839	0.000668766006453175	0.000357864690382224	0.000212082058792612	0.000827387641839519	0.000775095337756277	0.000783485509253007	0.00106776940739145	0.00133880050039166	0.00087208456003787	0.000964124634110512	0.000632413455214548	0.0019331166795236	0.00143301481664199	0.014858478121321	0.00103190185946931	0.00125630322040625	0.000542177787343113
"HMR_4281"	0.166784971088027	0.151486781020076	0.156325526767049	0.151602459670046	0.155312654150538	0.142383391761858	0.146531817877204	0.150811928654009	0.150614500025555	0.146674378248838	0.164776196285873	0.158141935085728	0.157997193266857	0.140991229680957	0.12970772036343	0.155535828492707	0.15134559572664	0.15715626045166
"HMR_4388"	-0.123741240334766	-0.118090385384684	-0.131656227434886	-0.111564089317624	-0.147670122899834	-0.0935635568045574	-0.128466616473393	-0.111579162316423	-0.129719862956289	-0.107016033177872	-0.145185172061609	-0.122249478418485	-0.125043974909638	-0.0852732179270583	-0.0933908590575342	-0.128683098118506	-0.126849564261814	-0.153302735094994
"HMR_4283"	0.00195611718947041	0.00159267532705475	0.00131511045944293	0.00124442776850038	0.000870417817540701	0.00108808597175359	0.000766492044459221	0.0011320137606034	0.00125539316519336	0.000885949098856634	0.00117890247424706	0.00137236485709762	0.0015750050813952	0.00120152677645415	0.00117981027508655	0.00164966622176023	0.00163423438676373	0.00108970763235145
