"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88559914998477e-09	-9.88602497465765e-09	-9.88829022878609e-09	-2.42296465997247e-09	-9.88708528308253e-09	-9.87263533405531e-09	-9.88796829119582e-09	-9.88798024035048e-09	-9.88654306704129e-09	-9.8866124504416e-09	-9.88651136021152e-09	-9.88732733721273e-09	-9.88622717617853e-09	-9.88745060866281e-09	-1.43656663330901e-09	-9.88736456402664e-09	-9.88595443687054e-09	-9.8884356344916e-09
"HMR_3907"	1.7277250048429e-08	1.65712999666141e-08	2.0754862484583e-08	3.563097734284e-09	1.94187869300395e-08	1.803915253838e-08	1.84865312916698e-08	2.04416682448655e-08	2.00135563984249e-08	1.8494851408322e-08	1.61746471006744e-08	1.59657732460131e-08	1.99133385066888e-08	1.85375821142915e-08	5.72136427644096e-10	2.0878360367645e-08	1.8326492667582e-08	2.09395231409562e-08
"HMR_4097"	3.20824898659722e-05	2.25661012465561e-05	1.45213835952267e-05	0.000413053102808376	2.27109148392099e-05	2.1588362461325e-05	2.11813977189458e-05	2.33220549883208e-05	2.06429505382345e-05	1.63681973234868e-05	3.81168347396305e-05	2.76474091719022e-05	2.55842273875771e-05	3.10754649301328e-05	0.000493178715509837	2.19718009759258e-05	1.84142541328568e-05	3.36197523364656e-05
"HMR_4099"	1.66188833876066e-05	1.6175546283617e-05	1.41288022179769e-05	0.000424798992358749	1.80963800173332e-05	1.42588198624262e-05	1.97462580887605e-05	2.15281453113991e-05	1.33318609301392e-05	1.19217383074407e-05	2.93306752922919e-05	1.83649951084913e-05	2.30140729608686e-05	3.92501972023503e-05	0.00057695387891849	2.45550070959414e-05	1.80966299384277e-05	1.95508804597833e-05
"HMR_4108"	0.00101859160048925	0.000816045070837461	0.000616965811196991	0.000853726412361352	0.000857069359967454	0.000893344178211145	0.000802600802803654	0.000823053403471217	0.000757429011416787	0.0006086166181677	0.00126964481541931	0.00101567894073501	0.000800196342380024	0.000940843834361473	0.00099318733124854	0.000750886900667162	0.000685438122360302	0.00119864246678125
"HMR_4133"	0.00101859160046769	0.000816045070817322	0.000616965811162883	0.00085372641208269	0.000857069359946788	0.000893344085092393	0.000802600802781627	0.000823053403449949	0.000757429011395381	0.000608616618147842	0.00126964481540068	0.00101567894070162	0.000800196342360494	0.00094084383434379	0.000993187321798442	0.000750886900646212	0.000685438122338858	0.00119864246675982
"HMR_4137"	0.00127350498341465	0.000723605505263989	0.000462721664801785	0.00614418557305898	0.000887548662047526	0.000512817001155442	0.000752831999662052	0.00114978815997322	0.00115410689570883	0.00110364083715635	0.00109235017665744	0.000415185341513974	0.00199537429914281	0.00157330228053552	0.0107018530953943	0.00105891767916755	0.00126129940233309	0.000714619081871219
"HMR_4281"	0.164237446084896	0.151764356663576	0.15204241109598	0.144225065257128	0.154348615686526	0.158033302099202	0.147476073961102	0.149562064887643	0.154662936289772	0.1437515313443	0.164669300282997	0.1675814356017	0.157977211165787	0.139962162568144	0.143336887158652	0.155690652011747	0.15300992495012	0.154047303253067
"HMR_4388"	-0.115750223258332	-0.112857194898433	-0.124970397838337	-0.0977878073056786	-0.143570817832577	-0.0975163170471124	-0.126183422578222	-0.108767539524841	-0.128632467018631	-0.100929525985735	-0.13616030520582	-0.125639845699957	-0.121343547572173	-0.0799551701315558	-0.0734353535807358	-0.126037480300277	-0.122100359629012	-0.14384349325895
"HMR_4283"	0.00194960693080407	0.00158146641305965	0.00135450308553719	0.00364845394142042	0.000864098043787947	0.00102142566194319	0.000750875238210017	0.00113014625212433	0.00122305017211783	0.000896804389210808	0.00116298285146103	0.00131872198806916	0.00155772247112058	0.00119013365783208	0.00416786337176352	0.0016380560982673	0.00160651921513063	0.00110235366252172
"HMR_8357"	0.0147862519265057	0.016302496237987	0.012859699596747	0.00673748503289578	0.0145621302244962	0.0120219168581855	0.0158622308888609	0.014877896498582	0.0160015641407709	0.0165972701204188	0.0161261041510388	0.0139754045336186	0.0163240360987823	0.0159983506872054	0.00805489763547375	0.0152141345900755	0.0142412798607274	0.0141632065551923
"HMR_4379"	0.0855397705123969	0.072565205753978	0.0745027793761795	0.0928742078375887	0.0783319372493862	0.0724655889674282	0.0758520603046308	0.0898807585281033	0.0831712046941308	0.0837963187735752	0.0761538676780637	0.0749234900392464	0.0917546973685394	0.0827943106384391	0.105312035319705	0.0817650298908177	0.07444552063542	0.0750815297628361
"HMR_4301"	0.0873987944948542	0.075711365654661	0.0776945112303808	0.0852385709524359	0.0802348031369977	0.0733413786198336	0.0782005244112223	0.0916703660386032	0.0848159350612287	0.0842795524051231	0.0797016470572484	0.0773519954238294	0.0916565028034074	0.0870100198446192	0.08978403118535	0.0847245039518907	0.0792541883651648	0.0801195544729654
"HMR_4355"	0.015183762126713	0.0140738824428701	0.0139967301385291	0.00478116734583022	0.0156229082371649	0.0175540836135767	0.0154828659297752	0.0182995273662786	0.0147292769759267	0.0156735685259996	0.0124045325000866	0.0178031312485545	0.0160566448690547	0.0146280057432508	0.00520735055277523	0.0191919306906021	0.0150836330435378	0.0132723614803524
"HMR_4358"	0.0849651702248054	0.0736806567543309	0.0758820752118644	0.0781631653709739	0.0772105748224944	0.07758084763144	0.0750757624885736	0.0849745496269453	0.0825284836238171	0.0740583078551277	0.0796680819945054	0.0762310517570266	0.0882579824522498	0.084336844478029	0.0851074379503591	0.0797716479771357	0.0747729201223818	0.0760702516005659
"HMR_4360"	2.07602646395259e-05	1.28630961897776e-05	1.09208006716965e-05	0.000739567893232423	1.12566638042608e-05	3.04747322168729e-05	1.17249193924947e-05	1.28917832991024e-05	1.15821376666387e-05	1.76654462896673e-05	1.95488622481171e-05	1.80965389953045e-05	2.09898101640417e-05	1.21509713272173e-05	0.00113691804495443	1.78381143023994e-05	1.76957548077707e-05	1.31688679966025e-05
"HMR_4363"	0.423367519758717	0.382672817650866	0.392902603924647	0.454493597233715	0.397395014278207	0.404628336976988	0.392407590575308	0.429434972875701	0.415945689515797	0.401705715014691	0.407289615118401	0.395551649814384	0.443526271450084	0.409525070572494	0.517572122130608	0.407082275919793	0.391044578477782	0.395105933470811
"HMR_4365"	-0.410533746322792	-0.36704756423314	-0.377146144309929	-0.451930462074579	-0.381271047367514	-0.384972772007421	-0.375204050008688	-0.416417510314202	-0.402010925400628	-0.39019378316307	-0.392244294435609	-0.376331667094353	-0.431139951464436	-0.39771455957131	-0.515197924298425	-0.390241011014031	-0.376467972755797	-0.380088614736032
"HMR_4368"	0.403518864064022	0.352801291742185	0.36482070543513	0.44868878733245	0.369998946455083	0.365670657257876	0.365175282392084	0.40846992254149	0.393089749788967	0.380804901046297	0.381617804807059	0.363118659147614	0.422994711200268	0.395070331160005	0.511053923940684	0.381073552980029	0.365451304737978	0.365608634750432
"HMR_4370"	5.09882582983787e-06	3.31932405138067e-06	4.02873349153028e-06	0.000256094466111113	5.00516536335079e-06	1.1743427700124e-05	4.08567993143547e-06	2.70525193282936e-06	3.346840886088e-06	3.53789704071113e-06	4.73219775296804e-06	4.74818442934066e-06	5.34910804681362e-06	5.90048318284498e-06	0.000875699578489768	3.26740636846554e-06	3.38586992856121e-06	3.2696626098247e-06
"HMR_4371"	0.000468238853824374	0.000304458511928688	0.000393966870281644	0.00163981047894945	0.000447201329176212	0.000229719034319726	0.000358182632274956	0.000387276618965525	0.000407900213613368	0.000408690709621484	0.000367548350277688	0.000474015632642602	0.000503942342779482	0.000488475981633602	0.00174352769520024	0.000325298572842879	0.000332322788810418	0.000356897449026974
"HMR_4372"	0.000468238855088826	0.000304458513193082	0.000393966871553633	0.00163981047392059	0.000447201330439748	0.000229719080203378	0.00035818263353866	0.000387276620229325	0.000407900214877997	0.00040869071088531	0.000367548351542526	0.000474015633914143	0.000503942344043862	0.00048847598289887	0.00174352668818838	0.000325298574106837	0.000332322790074884	0.000356897450290863
"HMR_4373"	-0.404025161961988	-0.353130737461018	-0.365247226008313	-0.451319309879469	-0.370478913618347	-0.365939284766945	-0.365556029960945	-0.408886721856685	-0.393525630679233	-0.381236215617252	-0.382025084441541	-0.363629906830076	-0.423540315320764	-0.39560870695783	-0.514675234887532	-0.381428114879866	-0.36581172834748	-0.365994162881161
"HMR_4375"	-0.172888594867316	-0.148238912537111	-0.152141447687967	-0.177452664335188	-0.158511311263371	-0.145746280853112	-0.154012514715121	-0.181490881842598	-0.167923720020649	-0.168008766063795	-0.155803026941962	-0.152241506279455	-0.183361280883077	-0.169780569203465	-0.194083185975234	-0.166451073040191	-0.15365070838753	-0.155150668776224
"HMR_4377"	4.99745607154923e-05	3.76651129835166e-05	5.58476753537473e-05	0.000659617108780364	5.54342170763414e-05	5.95135836209382e-05	4.00759163365381e-05	6.02481869894535e-05	6.34245898212759e-05	6.71105091383957e-05	5.24942911695787e-05	3.39827285606132e-05	4.99232712363462e-05	2.3765780706958e-05	0.000741836486405367	3.84648467885329e-05	4.90055596792753e-05	5.04210750282504e-05
"HMR_4381"	-0.0464980918231836	-0.0372606444340728	-0.0421844277672121	-0.0435594772258479	-0.0392439520310241	-0.0415906861728351	-0.0354002473644493	-0.0424900605329051	-0.0456375634543967	-0.0488509657569875	-0.0394350469673823	-0.0327351227254279	-0.0437267934645171	-0.041311266122243	-0.0231040398295337	-0.0408774179523742	-0.0380901464639458	-0.0368624305351387
"HMR_4391"	0.180963344499033	0.16113044380339	0.162968227537583	0.202438380736886	0.167691475841674	0.172084305492045	0.162751454743984	0.17565980569844	0.178176726423103	0.173457400071258	0.174785796097442	0.156654635835125	0.18223819720795	0.170561761040507	0.220755863218633	0.174811274758961	0.168336331310714	0.164640176468261
"HMR_4394"	0.0531884121402477	0.0447622565569456	0.0456440519297039	0.0459208757028703	0.0485542710939188	0.0482378390174659	0.0452737350271109	0.0533432938925868	0.0504101455491687	0.0517779159538282	0.048760979961975	0.0442952412159724	0.0562184511521373	0.050244725280192	0.0428420473898705	0.0493251454154722	0.0472263886947959	0.0445189477852578
"HMR_4396"	-0.0244227622365871	-0.0216032896400413	-0.0221942374217631	-0.0472262708756294	-0.0238524748158121	-0.0234530065316386	-0.0225209392462998	-0.0238565448591952	-0.0218064042957209	-0.0223226605318153	-0.0245619592891755	-0.0223576349914401	-0.0259122386995532	-0.0241447482680358	-0.06665145090716	-0.0247643883999614	-0.0229014267825682	-0.0230186526044406
"HMR_4521"	0.000315686814654091	0.000305968754511153	0.000312138831813661	0.000732211392645107	0.00040537037249627	0.0003593205499931	0.000248945821245998	0.00034212097380091	0.000294992380493511	0.00035204833880353	0.00010959813390682	0.000315635230385244	0.000307588861133057	0.000209685830039402	0.000791480106173098	0.000209668837151173	0.000334066333840947	0.00016420597182878
"HMR_6410"	0.00337478115713253	0.00240993429770074	0.00248036823437267	0.00731549855809391	0.00254345836835072	0.00131755427851737	0.00295592511054444	0.00349272605059793	0.00347446646044075	0.00271688263756636	0.00247602782421226	0.00270729629459626	0.00422415696805699	0.00428803979279331	0.0101104997279371	0.00301583754640915	0.0031595434586964	0.00273102974149938
"HMR_6412"	0.00337478115714581	0.00240993429771253	0.00248036823439238	0.00731549788012892	0.00254345836836272	0.00131755428613619	0.00295592511055669	0.00349272605061041	0.00347446646045397	0.00271688263757786	0.00247602782422384	0.00270729629461608	0.00422415696806879	0.00428803979280422	0.0101104997247702	0.00301583754642096	0.00315954345870872	0.00273102974151114
"HMR_7745"	-0.0306999955409364	-0.0279957322074731	-0.0305214400457435	-0.0401221370340019	-0.0298935917108873	-0.0255866729760304	-0.0302563493097866	-0.031983663100087	-0.0302310163467184	-0.0327792176696912	-0.03224605881545	-0.0281097770610789	-0.0335916228622475	-0.0262619520032797	-0.047093565543632	-0.0322904566826609	-0.0309351298132982	-0.0309559113790593
