"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88545855559763e-09	-9.88606886821915e-09	-9.88823436831843e-09	-9.88725439692294e-09	-9.88704483133648e-09	-9.88654124085688e-09	-9.88808225217332e-09	-9.88793200497845e-09	-9.88651475176163e-09	-9.88670377831712e-09	-9.88653893145004e-09	-9.88718756271856e-09	-9.88617733947915e-09	-9.88738824984599e-09	-9.88824607267958e-09	-9.88731999423476e-09	-9.88587530439203e-09	-9.88841486959589e-09
"HMR_3907"	1.78051304727527e-08	1.6453314351181e-08	2.09252607450557e-08	1.84802169612768e-08	1.9601441798701e-08	1.85081740179064e-08	1.81611332655665e-08	2.0645758274327e-08	2.01449930109736e-08	1.81908724805143e-08	1.61260168808813e-08	1.62986227878254e-08	2.01290166008364e-08	1.88029584762264e-08	2.09263609532321e-08	2.10703459413286e-08	1.86302993496389e-08	2.10406853926981e-08
"HMR_4097"	3.55713633999148e-05	1.99134883033018e-05	1.56349229564413e-05	3.16943872477357e-05	2.22964998394645e-05	2.25031973403085e-05	1.64621511492433e-05	2.3760862179064e-05	2.01765232912231e-05	1.38730531008439e-05	3.45677488408168e-05	3.52455782381129e-05	2.54649663101192e-05	3.11340535329369e-05	6.35449553960324e-05	2.2262171142189e-05	1.92741653761157e-05	3.2974738891051e-05
"HMR_4099"	1.81340769065227e-05	1.46585955160013e-05	1.51539519722374e-05	1.40029252159644e-05	1.78693780539114e-05	1.07073286277634e-05	1.61150384174045e-05	2.1891791775141e-05	1.31186735903986e-05	1.05159926454959e-05	2.69811307938377e-05	2.29656476137648e-05	2.2999709953321e-05	3.94338383175396e-05	1.71878800861626e-05	2.48609539934232e-05	1.87731337593513e-05	1.92974536321865e-05
"HMR_4108"	0.00107256383796049	0.00076638670428281	0.000640304532989877	0.00121882986493911	0.000849100252861664	0.0010807763536935	0.000707151915723495	0.000830733395440047	0.000748749588648346	0.000560129034719903	0.00120879763931324	0.00114747987029053	0.000798251883163259	0.000941650930855498	0.00255450454934021	0.000755797236636943	0.000701243942994468	0.00118699057127785
"HMR_4133"	0.00107256383794079	0.000766386704260307	0.000640304532960185	0.00121882986490992	0.000849100252840665	0.00108077635367242	0.000707151915694622	0.000830733395419209	0.00074874958862651	0.000560129034696632	0.00120879763929264	0.00114747987026716	0.000798251883143707	0.000941650930837918	0.00255450454934038	0.000755797236616279	0.000701243942973996	0.00118699057125605
"HMR_4137"	0.00151684117990429	0.000592855580478034	0.000524788491513417	0.000344183628169913	0.000862052458041244	0.000823438385555071	0.000489719855210823	0.00118869464185026	0.0011069532471154	0.000831485406246522	0.000924407236410306	0.000616574059429131	0.00198135413176143	0.00158240765849206	0.000549043567596827	0.00108392040017	0.00136243521414239	0.000690133504067179
"HMR_4281"	0.160882854704716	0.155350918054223	0.149852929631343	0.14384211418589	0.15497389220383	0.143294877201045	0.155138843833417	0.148945154818395	0.155383205945664	0.148397833515916	0.16836493393035	0.159872727914249	0.15807452979618	0.139853782265958	0.148684348941461	0.155226211623926	0.151577231324592	0.1546832854309
"HMR_4388"	-0.114496125491379	-0.116760642575291	-0.124451020725368	-0.101775465192025	-0.14555699805714	-0.0884827089979374	-0.133861548730516	-0.10925968090343	-0.130829726463023	-0.105490608369183	-0.140351158066174	-0.120552559261247	-0.122977817136585	-0.0816275855976046	-0.097415966178321	-0.126684833871028	-0.122030663987663	-0.145396184543702
"HMR_4283"	0.00200567232145713	0.00157020811502323	0.00138275823879998	0.00132245222362798	0.000871266837041	0.00108438256499904	0.000728990746714737	0.00114332162945945	0.0012311333912963	0.000874876417443845	0.00115721615366291	0.00136749522710572	0.00157383833156864	0.00120527658105237	0.000516874842066818	0.001655471883329	0.00163481564200821	0.00110714150857381
