"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_3905"	-9.88547655457814e-09	-9.88600762743594e-09	-9.88727439416269e-09	-9.88719079957026e-09	-9.88701776738965e-09	-9.88648498945580e-09	1.19009072199186e-10	-9.88794182104601e-09	-9.88640092939006e-09	-9.88674893954133e-09	-9.88646813311531e-09	-9.88711940246501e-09	-9.88613372776957e-09	-9.88737309511706e-09	-9.88824797579819e-09	-9.88728952127166e-09	-9.88580088286388e-09	-9.88837390585323e-09	-9.88662562115657e-09	-9.88583905001496e-09	-9.88524053215552e-09	3.71868591591181e-10	-9.88385040987365e-09	-9.88589876778633e-09	-9.88574593985612e-09	-9.88554835656402e-09	-9.88554612969771e-09	-9.88647869688638e-09
"HMR_3907"	1.79124744847946e-08	1.67265858650579e-08	2.14685732426304e-08	1.87623977374773e-08	1.97701882718643e-08	1.88049717260144e-08	1.18962274664684e-10	2.06684287658444e-08	2.06124431594719e-08	1.83559513326945e-08	1.63911615472799e-08	1.65845205468583e-08	2.04212369356191e-08	1.90175941481544e-08	2.08891475796601e-08	2.12091852180506e-08	1.91077348872888e-08	2.127694023786e-08	2.0532977751061e-08	1.99980990400844e-08	1.88757231106501e-08	3.62903194822877e-10	1.73308537334298e-08	1.82559869690285e-08	1.94271599632487e-08	1.71832433694141e-08	1.99032655672401e-08	1.91099257887205e-08
"HMR_4097"	3.13818950953442e-05	2.03336421018547e-05	1.35312497136547e-05	3.27995484928923e-05	2.19679976834229e-05	2.26654687229841e-05	0.000517710519672234	2.19753726044237e-05	2.30691466432614e-05	1.07796681778076e-05	3.59919711847514e-05	3.68318033259439e-05	2.57977881416792e-05	2.94995955599118e-05	6.38108205193017e-05	2.25458865454271e-05	1.958305252935e-05	3.34334566081412e-05	4.59982071439125e-05	5.86099939240464e-05	4.02265492849575e-05	0.00052566025982061	8.74082011805725e-05	4.57914783896407e-05	2.75391941989065e-05	3.24507172685578e-05	4.349019029225e-05	1.87318069837972e-05
"HMR_4099"	1.6238242702894e-05	1.49376396053999e-05	1.28376744899233e-05	1.44883778171121e-05	1.77009090792759e-05	1.07689068762509e-05	0.000603671422706156	2.07260874159702e-05	1.46979924576447e-05	8.43597350194342e-06	2.81184244673926e-05	2.38414602623724e-05	2.31812313635092e-05	3.74365195506703e-05	1.72887175647618e-05	2.53367687459822e-05	1.87843057062135e-05	1.95766809941511e-05	2.78074999802459e-05	2.63254985783791e-05	1.43635433005652e-05	0.000620197392709841	2.69872428560635e-05	1.61331515362154e-05	1.5599282017983e-05	1.89721167009553e-05	2.59399580588881e-05	1.46033044027724e-05
"HMR_4108"	0.00101028017114647	0.000775364622819292	0.000585079464910189	0.00124107198525875	0.000843776190956637	0.00108644672676467	0.00102442227978673	0.000799360695969952	0.000801385932451111	0.000495096845259865	0.00123435922532948	0.0011744927004772	0.00080496162383877	0.000918593434004535	0.00255991886250527	0.000760666549492402	0.000709602427538943	0.00119638493437222	0.00118907034226631	0.00166837610347832	0.00116571484810673	0.00103966466721925	0.00197530991884317	0.00144860922013874	0.000879788496138427	0.00108111981490826	0.00118833306424887	0.000720027521821554
"HMR_4133"	0.00101028017112451	0.000775364622797027	0.000585079455021396	0.00124107198523032	0.000843776190935068	0.0010864467267436	0.00102442227977297	0.000799360695947444	0.000801385932431776	0.00049509684522208	0.00123435922530957	0.00117449270045466	0.000804961623819312	0.000918593433985986	0.00255991886243931	0.000760666549471722	0.000709602427518639	0.00119638493435041	0.00118907034224719	0.00166837610345904	0.0011657148480883	0.00103966466720928	0.00197530991882643	0.00144860922011555	0.000879788496119296	0.00108111981488848	0.00118833306422995	0.000720027521796829
"HMR_4137"	0.00116484628097571	0.000567072434446357	0.000355988849907314	0.000321850887954018	0.000775959666445142	0.000782701158272772	0.0078985838500637	0.000954189534388261	0.00133013741596721	0.000487586521369612	0.000924339580945265	0.000622194843730485	0.00191416764771081	0.00136388108999218	0.000557305098368876	0.0010215737762702	0.00131582933697635	0.000644317756182653	0.0017873428944574	0.00219472312100143	0.00160656032172301	0.00879344881100632	0.00248598785182137	0.0011131963773416	0.00145003378945258	0.00152359711938473	0.0023531403207937	0.000733031928159049
"HMR_4281"	0.16531944033957	0.155132473081088	0.15792608634187	0.143499400623281	0.156036287532566	0.143431448825511	0.171075234840784	0.151727770505584	0.150946210291684	0.156350867169149	0.167255567132746	0.158806562203879	0.15803488636144	0.14158492256757	0.148377414786223	0.155173369517954	0.151773844199834	0.154770520479748	0.168423237991374	0.16943323624201	0.154725455083116	0.172421128514056	0.166766688369051	0.159729821568277	0.157569645351448	0.168323826897089	0.170507110596142	0.156455121137487
"HMR_4388"	-0.122128006946135	-0.120388140973916	-0.133597037191576	-0.106417370116874	-0.150947787856388	-0.0921085672228751	-0.119055457934148	-0.117092052512331	-0.130187735447606	-0.116598872395819	-0.14333409860787	-0.122921068593096	-0.126464355384836	-0.0875398708189948	-0.0968460000944433	-0.130644384101612	-0.125809745012516	-0.149789221084178	-0.124858611616489	-0.11975905605887	-0.0967504998245783	-0.138973196743171	-0.128865311639138	-0.109834964490891	-0.10870298391866	-0.158123983123136	-0.142793226272796	-0.138366766460291
"HMR_4283"	0.00198210665025875	0.00158945042329183	0.00130012328513023	0.00134683273841542	0.000876206037474149	0.00109610191005424	0.00454470523841549	0.00114348988892368	0.00126702780576375	0.000841035463332779	0.00117802434817674	0.00138389778894146	0.00158554742028284	0.0012065430412553	0.000518457186870205	0.0016745500362592	0.00164305964560993	0.00112015659029264	0.00156118214030655	0.00189723191271724	0.00235825061516882	0.004317228485165	0.00130604938437143	0.00148432063652115	0.00278089297234091	0.00113376246537314	0.00181278301678171	0.00102196402913732
"HMR_8357"	0.0145508491235683	0.0156221451005146	0.0116584717763514	0.0152951146944017	0.014247933514737	0.0153727427941971	0.00716264443167327	0.0144780692301395	0.0169146180752464	0.0130941318760126	0.0157624448694932	0.0159380089157039	0.0163020297200953	0.015588782335259	0.0138909021562718	0.0153925901824074	0.01450903276163	0.014059944540544	0.016635824025236	0.0175508380248319	0.0174742141182696	0.00764829355919717	0.0172928357049841	0.0161751455633991	0.0170101354866824	0.0177021990859259	0.0165746525461783	0.0141597572121348
"HMR_4379"	0.0799864607900595	0.0667304740455074	0.0667682975462048	0.0664122422596432	0.0724835549109321	0.0697104725514562	0.113828056395905	0.0827143164638819	0.0788307162532468	0.0742841093941757	0.0702721010260413	0.0713799433581259	0.0866088052001164	0.077293140746957	0.0592881431931661	0.0761304861717186	0.0697331695068943	0.0690453474992435	0.0892926013306841	0.0863648306019345	0.0840115265803909	0.10618643950824	0.0826257739505934	0.0754395541525474	0.0840207298335793	0.0634622693362798	0.0816990843180787	0.0663800346064671
"HMR_4301"	0.0827290904203608	0.0706917351010969	0.0702894571212742	0.070531096696135	0.0753356713923619	0.0722693043178849	0.0983091155889713	0.0856643174916266	0.0811719636302476	0.0764038769507421	0.0745678894045551	0.0744166858380066	0.0874607327970746	0.082265301069761	0.0620802005152587	0.0799719450169922	0.0751552670481484	0.0747632127447253	0.0922363141888566	0.0917884325579756	0.08641112143118	0.0926258795975885	0.0872079414732186	0.0796552940073408	0.0878584296120778	0.0676519391691725	0.0858031135755457	0.0700727938988529
"HMR_4355"	0.015571876916502	0.0149531610024447	0.0153323004867679	0.0141156128357826	0.0166075081090192	0.0168265858552163	0.00592629170717367	0.0196379119106714	0.0150189433724456	0.0169134708972913	0.0127469190609219	0.0181010931962593	0.0165861411287308	0.0151793275058094	0.0160520164322506	0.0200732677497727	0.0152234118059123	0.0138642176016441	0.0184159159341736	0.0187534028361405	0.0175568297916708	0.00548714688982109	0.0149952298045804	0.0158500891713161	0.0176124524519428	0.0150429321060914	0.0151585855809661	0.0153087545420012
"HMR_4358"	0.0840973463922515	0.072563079432048	0.0756452236432045	0.0714297597820963	0.0761766481148992	0.075701802534792	0.0946066694344131	0.0835759550578737	0.0816114135821756	0.0730675722188008	0.0786346046204949	0.0752220954838962	0.087377246241714	0.0834476074337228	0.0661233248818866	0.0787895073713998	0.0740047744481157	0.0748994882154613	0.0978498674471384	0.0970995269296526	0.0897931010158903	0.0879797242743055	0.0901887853604994	0.0831072029631883	0.0903730515935256	0.0706458311493421	0.08875138889905	0.0738970992299312
"HMR_4360"	2.16182136739262e-05	1.3513772872115e-05	1.24333757499315e-05	1.36334098059015e-05	1.16947531255844e-05	1.50960981948512e-05	0.00116640319170281	1.37477470496555e-05	1.1737061032655e-05	1.96042938091492e-05	2.05793344664561e-05	1.77958417511885e-05	2.16883009305226e-05	1.27316747657089e-05	1.2756053019081e-05	1.8509708689114e-05	1.77109464003893e-05	1.37248481868151e-05	1.85612608729805e-05	2.22610504006332e-05	1.73171421922204e-05	0.00116964206790217	2.12086580363397e-05	2.72331620199618e-05	1.32496434395077e-05	2.51049798239784e-05	2.25643917672746e-05	2.05173915495158e-05
"HMR_4363"	0.41181978966555	0.370150175247598	0.386973559008335	0.374298692871769	0.384618848467067	0.383721286669563	0.561225003414892	0.413487936970779	0.405260708998112	0.38771030341036	0.394965668172376	0.384164549110571	0.432236414624787	0.397465419726572	0.354298096596234	0.394809127731552	0.381141949820637	0.381888121445479	0.442045308554788	0.444851230778377	0.42981281017391	0.520461469096084	0.427641574437453	0.404300828320721	0.443535675400993	0.352834236453797	0.418755047173021	0.363311586000315
