"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_3905"	-9.88545417421319e-09	-9.88599207153243e-09	-9.88820147919191e-09	-9.88697698559236e-09	-9.88703500068116e-09	-9.8867350571349e-09	-9.88797014408655e-09	-9.88795519383479e-09	-9.88649391551312e-09	-9.88662569961427e-09	-9.8864826183694e-09	-9.88712167802579e-09	-9.88617692196784e-09	-9.88740465454841e-09	-9.88653586227804e-09	-9.88733978898178e-09	-9.88591913236195e-09	-9.88846645485066e-09	-9.88668300189773e-09	-9.88588640747463e-09	-9.88524068555971e-09	-9.88675122157511e-09	-9.88387387569307e-09	-9.88595768967542e-09	-9.88577148145147e-09	-9.88567692105189e-09	-9.88558073830489e-09	-9.88661487706256e-09
"HMR_3907"	1.78179017517977e-08	1.66996326473739e-08	2.10029082114008e-08	1.94374355717961e-08	1.96361558468089e-08	1.80766372827552e-08	1.85006614594589e-08	2.05560220993327e-08	2.02149830872215e-08	1.84538159780674e-08	1.62856739474991e-08	1.64948807238637e-08	2.01241416098904e-08	1.87418793011773e-08	2.093890626214e-08	2.09905212327042e-08	1.84756504646199e-08	2.08455387961044e-08	2.02697313564281e-08	1.97414091674252e-08	1.88618657155276e-08	1.77947882991834e-08	1.72211923320208e-08	1.80429365276613e-08	1.93145726233472e-08	1.6731679475113e-08	1.97102701166148e-08	1.88479506658765e-08
"HMR_4097"	3.59358102418229e-05	2.25546276335925e-05	1.69648025776614e-05	4.88189653822843e-05	2.26489456326522e-05	1.55850031971922e-05	2.00645036917787e-05	2.29226040053981e-05	2.09656558275987e-05	1.55947619218827e-05	3.75855738433064e-05	3.95037711084366e-05	2.56310490436325e-05	3.04615819449423e-05	6.09750890980661e-05	2.16209771129146e-05	1.81033537812382e-05	3.04304313139771e-05	4.39195835195651e-05	5.69972385836319e-05	4.13755290002431e-05	1.49509531513417e-05	8.81873319431526e-05	4.27222833077417e-05	2.72314770471521e-05	2.81830598835416e-05	4.35130005411252e-05	1.40264561613903e-05
"HMR_4099"	1.82684501131167e-05	1.618894384223e-05	1.6225872377904e-05	1.97417260015739e-05	1.80848215676968e-05	7.53275665426888e-06	1.89355927474262e-05	2.12655902027152e-05	1.35254998983003e-05	1.15014567000926e-05	2.90204549694044e-05	2.52644523634094e-05	2.30864606920627e-05	3.86709708807639e-05	1.78749269206936e-05	2.42736869405162e-05	1.78908203803319e-05	1.81145355238701e-05	2.65996027207418e-05	2.57512974245335e-05	1.46580357736627e-05	1.21128707120211e-05	2.70758130923266e-05	1.51490651579575e-05	1.53652123700189e-05	1.6792230845261e-05	2.58528125703807e-05	1.09607800028199e-05
"HMR_4108"	0.00107805466398349	0.000815793771393046	0.000667115927535229	0.00151400511352857	0.000855806312050695	0.0008982870273227	0.000781026854821713	0.000815891253658125	0.000763302800388379	0.000593996001318232	0.00126065992840343	0.00121508584466218	0.000800849344528995	0.000931381068335131	0.00248058539527747	0.000744788958066388	0.000679533250626353	0.001140084468134	0.00116099714778623	0.00164284217608779	0.00118225454680675	0.000627523133017944	0.0019834829435806	0.00139833334999301	0.000874803669277149	0.00100605953231598	0.00118764662830125	0.000620902552320313
"HMR_4133"	0.00107805466396397	0.000815793771372956	0.000667115927509239	0.00151400511351037	0.000855806312030087	0.000898287027240542	0.000781026854798643	0.000815891253636574	0.000763302800367369	0.000593996001297519	0.00126065992838459	0.00121508584464128	0.000800849344509588	0.000931381068317228	0.00248058537567473	0.000744788958045213	0.000679533250604663	0.00114008446811049	0.00116099714776648	0.00164284217606816	0.00118225454678877	0.00062752313292992	0.001983482943564	0.00139833334996809	0.000874803669257927	0.00100605953229289	0.00118764662828244	0.000620902552359095
"HMR_4137"	0.00155217064232958	0.000727598062071275	0.00060667551269162	0.000720586442821211	0.000896123196439405	0.000407082126219473	0.000691055150663042	0.00112609928616621	0.0011960421495267	0.00101952395226418	0.00107183812577641	0.000752371532963039	0.00202635517670301	0.00154201104850044	0.000862793721731315	0.00104017859731376	0.0012389874093449	0.000603441345419162	0.00177624464903366	0.00219085960638644	0.00172518454240628	0.000455156433847062	0.00261522080789973	0.00103831175585646	0.00148147012953557	0.00125775022977151	0.00249124641430288	0.000437462004874467
"HMR_4281"	0.160538350635003	0.151716121953232	0.147463096574363	0.131911496124919	0.154307082224754	0.156069454476917	0.149080796443795	0.150017330314468	0.154040645270596	0.145090970168143	0.165151478236262	0.156181557810383	0.157811278760274	0.140434765346022	0.149635198866882	0.156108163928457	0.153414078934295	0.157427645791947	0.1698015616895	0.170071465088087	0.15380700808536	0.170518080871153	0.166373926989237	0.161607752497767	0.157727548814147	0.173269032874388	0.170222236257587	0.167509771133742
"HMR_4388"	-0.113834609816546	-0.113307887914635	-0.122165510792301	-0.0917487676805294	-0.14448007316657	-0.0964101358241886	-0.128244979908262	-0.109922820731041	-0.128924864475757	-0.102469910758138	-0.137297198232109	-0.116789148861204	-0.122059831796108	-0.0814910366322399	-0.0975672003937824	-0.127046603549703	-0.123196620014179	-0.147528217373351	-0.121645682858589	-0.11729783297736	-0.0941470557942192	-0.155015905317245	-0.125800698707241	-0.10918941491512	-0.106479657530563	-0.159668936321673	-0.138721071410423	-0.143077696423668
"HMR_4283"	0.00200627282541789	0.00159072778914842	0.00139840494296126	0.00139974880392031	0.000873032015122515	0.00099132362355744	0.000749608395363632	0.00113512385555685	0.00123565903566924	0.00089261044073403	0.00116861364407497	0.00138374645839741	0.0015727042304189	0.00119982454140387	0.000517190410215129	0.00164536021479385	0.00161565888990512	0.00109008613935904	0.00153560397071157	0.00187887057018403	0.00235349874063969	0.0011528837439025	0.00129840520421231	0.00146599508362096	0.00276199432982533	0.00111216318955394	0.00179748645454897	0.000951448504364523
"HMR_8357"	0.0155524602899224	0.0163193973172757	0.0140179407782436	0.0183358680921462	0.014580564701183	0.0122825688328614	0.0154737596139853	0.0147771759012243	0.0161479509119144	0.0162129948160796	0.0160506275414513	0.0164829349326958	0.0163666940565084	0.0158878134140333	0.0137207485148823	0.0151195691137517	0.0141478190169247	0.013435721236804	0.0163150188709041	0.0174046539809361	0.0176120084792635	0.0142161117953735	0.0173186471362102	0.0157494700803654	0.0169426760801102	0.0167483791902133	0.0165992940912437	0.011912029425038
"HMR_4379"	0.0855919958994637	0.0724224331661948	0.0751100167433954	0.0752142873549214	0.0781693742154786	0.0719560587113944	0.0755511684393798	0.0896308112564937	0.083016209840952	0.0835327860485365	0.0757644386406748	0.0762352606428947	0.0916119950507763	0.0824837377903033	0.05927178512159	0.0815888867862845	0.0742041703237043	0.0746477125202162	0.0946409769500677	0.0898694706907756	0.0863961762912309	0.0655675556066464	0.0858056086928272	0.078120458468888	0.0868984036996428	0.0656680358738016	0.0861895653911898	0.0666165616660527
"HMR_4301"	0.0874468996896876	0.075584444302748	0.0781967176249892	0.0779889288696039	0.0800919975812251	0.0739221112725706	0.0779320363324562	0.0914526041395156	0.0846807760045887	0.0840516011417071	0.0793552092509661	0.0784837352490221	0.091534327343946	0.0867320702636615	0.0611393862150413	0.0845660140257493	0.0790333933521496	0.0797121767253394	0.0966892021867835	0.0947560705641486	0.0883985223827474	0.0699109288862268	0.0899917961492876	0.0819492898996803	0.0902615617277098	0.0695419563289083	0.0896380382243968	0.0698568836246338
"HMR_4355"	0.0150311416947593	0.0140780930604446	0.0137001176856607	0.0127563016470964	0.015622360843252	0.017579833910128	0.0155522735510858	0.0183280938275346	0.014699182085215	0.0157296165229731	0.0124151953528238	0.0172048848456928	0.0160359930467276	0.0146416994329344	0.0161546736336421	0.0192060053128294	0.0150967485199561	0.0133892497001808	0.0178228695099396	0.0184688841687805	0.0171279933857914	0.0163399904869738	0.0146941187251827	0.0156326425431052	0.0170161170923892	0.0150448966494315	0.0147146168378695	0.0162799745879727
"HMR_4358"	0.0849535348946925	0.0736447433943372	0.0756078243068525	0.0726673387685098	0.0771732039387127	0.0773265401446264	0.0750249610544881	0.0849235413126547	0.0824830390382981	0.074011034768561	0.0795897087554346	0.0760066871373125	0.0882335554833487	0.0842769823237048	0.0659216677334215	0.0797319406482658	0.0747234964577624	0.0760075458118809	0.0986865820057256	0.0975439906557673	0.0901968915292183	0.071833158316263	0.0908004406037505	0.083587926008585	0.0908950815322069	0.0710550685590346	0.0895690829957074	0.0751457422185865
"HMR_4360"	2.05636217060347e-05	1.28957451837937e-05	1.06931054284845e-05	1.20294564268427e-05	1.13292278796602e-05	1.54684842844826e-05	1.18821940021699e-05	1.29957273357509e-05	1.16040314203434e-05	1.78605446388715e-05	1.96760128729478e-05	1.71153602924843e-05	2.10981411097962e-05	1.22925957476833e-05	1.55566055657159e-05	1.79542232756269e-05	1.78463746563313e-05	1.34664686568777e-05	1.80336679383802e-05	2.19604376689505e-05	1.69688042184521e-05	1.55544168102429e-05	2.07350539619625e-05	2.70191706900483e-05	1.30415937570732e-05	2.55012767611765e-05	2.17860370215752e-05	2.12050261070131e-05
"HMR_4363"	0.423215414776428	0.382364127270145	0.391348559159927	0.389913700046598	0.397074374092826	0.39965712526049	0.391975290462626	0.428985309458662	0.4155211340605	0.401323363463134	0.406517047622565	0.394403158803965	0.443301747911329	0.408948826499348	0.35581274222093	0.406750894217141	0.390616636600995	0.394611780933371	0.453981735664976	0.452419339973782	0.435149048010126	0.368324226734207	0.434987596645751	0.410568940514185	0.450092635121581	0.358645154816867	0.428938361252791	0.374913729382842
"HMR_4365"	-0.41084539491177	-0.366835762330558	-0.376139334830503	-0.374634203852444	-0.381150595169053	-0.379910299620425	-0.374713464187598	-0.416026626435744	-0.401755934783834	-0.389736905601629	-0.391510092581824	-0.376354968386323	-0.431075104323419	-0.397253773580619	-0.336529678764001	-0.390002473925329	-0.376141316888376	-0.379385661803015	-0.43743154638471	-0.436409912860512	-0.420539721422699	-0.348480092431511	-0.422140364227255	-0.392448123295784	-0.436670028788072	-0.339492145603364	-0.417709952569285	-0.354514258946481
"HMR_4368"	0.404186925246256	0.352655211991144	0.364649441972118	0.356683372501689	0.370014824881272	0.360779121882167	0.364651253680688	0.408127769990898	0.392962822514699	0.380285234238561	0.380905023549497	0.364634890180048	0.423058305668719	0.394717793126379	0.318560893445446	0.380911982788015	0.365193812731819	0.364693032399298	0.427885704787463	0.427168893789734	0.412984384296425	0.333581484647485	0.417883592049556	0.381726834444978	0.426780944429632	0.33087022153115	0.413739961866143	0.339450582155451
