"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_3905"	-9.8854587040094e-09	-9.88598407693656e-09	-9.88824655593946e-09	2.63858477012811e-09	-9.88703174786076e-09	-9.88670480156995e-09	-9.88811785743815e-09	-9.88792411761408e-09	-9.88642679704015e-09	-9.88667416459752e-09	-9.88648535456201e-09	-9.88707941500618e-09	-9.88617093790477e-09	-9.88740837155496e-09	-8.921798344597e-09	-9.88731999617154e-09	-9.88586753345376e-09	-9.88840234278243e-09	-9.88839934546744e-09	-6.96645077688449e-09	-9.8862991928501e-09	-9.88655663682941e-09	-9.88722155980228e-09	-9.88733283107637e-09	-9.88631422983839e-09	-9.88733943322808e-09	-6.83332400131135e-10	-8.49307004404793e-09	-9.88868572664282e-09	-9.8866544392764e-09	-9.88588664016036e-09	-9.8852605917408e-09	-9.88674101184591e-09	-9.88389438060213e-09	-9.88587193886497e-09	-9.88577508850939e-09	-9.88559751155799e-09	-9.88561364136634e-09	-9.88641741595801e-09
"HMR_3907"	1.7811354645296e-08	1.67345072700297e-08	2.10718624526561e-08	2.13504015760867e-09	1.96535520595815e-08	1.80832928515661e-08	1.8293313396697e-08	2.06824475324976e-08	2.04722759848599e-08	1.82976488106418e-08	1.62884957391778e-08	1.66941332278416e-08	2.01605712095261e-08	1.87415754674508e-08	6.11601484975449e-09	2.10760973562001e-08	1.86645643741778e-08	2.10979808595234e-08	1.99993582146188e-08	4.8383649705471e-09	1.90487499545556e-08	1.73834719134658e-08	1.75405612360929e-08	1.94282535306024e-08	2.19051558898073e-08	1.97007440272625e-08	-6.83329435358363e-10	4.48971698798809e-09	1.74715222106566e-08	2.03791973640894e-08	1.97473193653875e-08	1.8791311121728e-08	1.77617504712161e-08	1.71574981371931e-08	1.82983510470891e-08	1.93054125537951e-08	1.70154521357574e-08	1.96079185972347e-08	1.92855714575015e-08
"HMR_4097"	3.52480483076495e-05	2.24320364109479e-05	1.33234369912757e-05	0.000542993387520797	2.24708573587441e-05	1.68728051264242e-05	1.29034392266889e-05	2.37551032297078e-05	2.29185775438184e-05	1.43191731351651e-05	3.68883335155083e-05	4.06070216447236e-05	2.5542876935145e-05	2.9797865638111e-05	0.00027499715669116	2.20507163029778e-05	1.93304099154368e-05	3.32984170178915e-05	2.52006227438544e-05	0.000358715608410535	1.44882790639684e-05	2.54160029741672e-05	2.18262708638055e-05	3.44487947999266e-05	2.44218213798691e-05	2.21335445918127e-05	0.000391291448556852	0.000131476781782778	2.56553544810258e-05	4.55929349055134e-05	5.65793737911852e-05	4.0032693022386e-05	1.57200449625965e-05	8.46197584720909e-05	4.98323572846444e-05	2.68820600457932e-05	3.09710483715486e-05	4.07737942533301e-05	2.11590791451137e-05
"HMR_4099"	1.8038075276822e-05	1.61703399506236e-05	1.27328553477665e-05	0.000643204262609508	1.80221490171077e-05	8.35466165681603e-06	1.25879138454546e-05	2.19502889989239e-05	1.45925967159194e-05	1.08193017770122e-05	2.8628012073986e-05	2.57417137297916e-05	2.3095928383991e-05	3.80461526636285e-05	0.00013814611445949	2.47329266492742e-05	1.88548079878292e-05	1.94883310231809e-05	4.04113947336849e-05	0.000405046272592673	1.03105711134705e-05	2.7334932334763e-05	2.80393783531116e-05	1.15542285797376e-05	7.01636530953588e-06	2.17037772192322e-05	0.00046389760473705	0.000119310090438579	5.48295367132692e-05	2.75103376403007e-05	2.56240271784935e-05	1.42301118040422e-05	1.30685116285951e-05	2.61445575966453e-05	1.73306796814124e-05	1.52141100917782e-05	1.81437224280076e-05	2.45449013467706e-05	1.60908382537745e-05
"HMR_4108"	0.00106768171308052	0.0008135896296241	0.000590627625676635	0.00107396808229401	0.00085244457845563	0.000935187102572863	0.00062544274676402	0.000830655936960958	0.00079821894971573	0.0005691172594181	0.0012488992473972	0.00123340153720882	0.000799488272982677	0.000921165708200193	0.000738500542932314	0.000752201552689323	0.000702280895527316	0.00119284881429687	0.000846907857794088	0.000856041137321728	0.000679043084435784	0.000915523732352804	0.000840389197545055	0.00162712113680744	0.00104663623163648	0.000813110306909903	0.000775551153981866	0.000668491386277897	0.000811048853265936	0.00118301585472441	0.0016368076250987	0.00116284304715561	0.00064397210501513	0.00194283130722479	0.001510727881327	0.000869162790284345	0.00105606069389783	0.00114954081674158	0.000765428135240103
"HMR_4133"	0.00106768171306064	0.000813589629603832	0.000590627625589214	0.00107396808219933	0.000852444578434739	0.000935187102540261	0.000625442746672892	0.00083065593694003	0.000798218949696333	0.000569117259395518	0.00124889924737792	0.00123340153718837	0.00079948827296314	0.000921165708181871	0.000738500542814026	0.000752201552668408	0.000702280895506844	0.00119284881427518	0.000846907857772271	0.00085604100675491	0.000679043084412849	0.000915523732331082	0.000840389197523521	0.00162712113674087	0.00104663623060672	0.000813110306889642	0.000775551154024735	0.000668491386152406	0.000811048853248508	0.00118301585470526	0.00163680762507891	0.00116284304713717	0.000643972104976349	0.00194283130720768	0.00151072788130561	0.000869162790264914	0.00105606069387715	0.00114954081672167	0.00076542813521864
"HMR_4137"	0.00147048416373001	0.000699843278793381	0.000374399638732079	0.00980465990378937	0.000856373711703118	0.000483966648210076	0.000301587478056526	0.00115782293530132	0.00136655603797083	0.000850784162483329	0.00101444341958915	0.00076697394441569	0.00196479988751937	0.00145059470747545	0.0023427026886475	0.00104164815218493	0.00134567907342952	0.000683715249397741	0.00115363678090006	0.0854124654134046	0.000458126423506156	0.00133098687062759	0.000923201580875173	0.000301209663380762	0.000566099050785979	0.00088649033483797	0.0806708567570306	0.00152866998298206	0.00107136234433713	0.00185706132741578	0.00214285322416607	0.00164858387363481	0.000511936814614722	0.00246035574170161	0.00130502650624786	0.00144286929715222	0.00145429723519952	0.00220484805627324	0.000932981819387318
"HMR_4281"	0.161231641679236	0.15199651985644	0.155898515094815	0.150726686598136	0.15476933019807	0.152318412404359	0.163687965917357	0.14905400315972	0.151027358059645	0.14762316563063	0.165999345943184	0.155497359490408	0.158033991795872	0.141132115078255	0.146904813476924	0.155635504917811	0.151569717115015	0.154485556009759	0.190021438011935	0.119708584713911	0.151317221147953	0.177414687116791	0.148031317423175	0.170259133989153	0.17017359122833	0.146920811755868	0.131585762148557	0.15329768364224	0.156155864614307	0.168494020212154	0.170366975457589	0.154763298814359	0.167677968276485	0.167642204993119	0.157093322279461	0.158122866483004	0.169959160792465	0.1726841469626	0.152465309834573
"HMR_4388"	-0.115699893547082	-0.114957087077509	-0.129182722158721	-0.0893821989719252	-0.146528099577309	-0.0959199088415303	-0.140749508964772	-0.110841573758746	-0.127579470672785	-0.106365882526097	-0.139305141045762	-0.11762764703137	-0.123730359841756	-0.0837347728851105	-0.0962391970808638	-0.128190218006536	-0.122844336012022	-0.146384844070279	-0.171382297030573	-0.108846180200798	-0.116825873810841	-0.158126807561243	-0.133164914545964	-0.139738362539255	-0.136021115247652	-0.132885729493808	-0.103443416615427	-0.143809186125683	-0.157793361252716	-0.121605036135171	-0.118217905737015	-0.0946643335682626	-0.154546396195682	-0.127034038641398	-0.106127898086337	-0.107222140405004	-0.157703556286524	-0.14199102244906	-0.133336523291149
"HMR_4283"	0.00200850651013264	0.00159726811722632	0.00132281277175419	0.00451813381515761	0.000875423715520533	0.00103149025435978	0.000689551700608659	0.0011483247605321	0.00125801951854374	0.000885419013935834	0.00117129248876204	0.00139219604147723	0.00157778065616695	0.00120170367353382	0.00185087364560307	0.00165749490384697	0.001639551802333	0.00111272287822752	0.00138827071818556	0.00249083255088544	0.000293360883552916	0.00158700226004573	0.000844316578224329	0.000452763578109723	0.000369691220391506	0.000724397427143399	0.00370251372771246	0.0019276028036518	0.0011620285516106	0.0015483481927076	0.00188071254434851	0.00234360713892323	0.00118082864253994	0.00129461110410651	0.00149238879055138	0.00275990466605681	0.00112308569419648	0.00178818505993005	0.00103550769611339
