"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_3905"	-9.8854325677237e-09	-9.88596080110867e-09	-9.88817649740612e-09	-9.88704272722042e-09	-9.88701446741989e-09	-9.88666569505474e-09	-9.88809448177609e-09	-9.88800272008208e-09	-9.88646504717187e-09	-9.8866272702854e-09	-9.886439278206e-09	-9.88705306265049e-09	-9.88615051476462e-09	-9.88736201898747e-09	-7.61131367694018e-10	-9.88729207358337e-09	-9.8858405545835e-09	-9.88838105875992e-09	-9.88838939882246e-09	-9.88676986334362e-09	-9.88630186811741e-09	-9.88654193386015e-09	-9.8873148660292e-09	-9.88723690933868e-09	-9.72203938635519e-09	-9.88732513800323e-09	-9.8877249232805e-09	-9.88900321353915e-09	-9.88880009113814e-09	-9.88664741540433e-09	-9.885864643698e-09	-9.8852405191003e-09	-6.89259295890477e-09	-9.88386894909585e-09	-9.88594827949121e-09	-9.88577229111776e-09	-9.8856649654685e-09	-9.88556299301784e-09	-9.88636263974912e-09
"HMR_3907"	1.80549756393312e-08	1.68770656320202e-08	2.12674048414335e-08	1.92373385407425e-08	1.97809761557499e-08	1.83115135578528e-08	1.83644471121489e-08	2.04570066706173e-08	2.03686359844184e-08	1.86310783121311e-08	1.64719121149419e-08	1.6795148334598e-08	2.0355268984052e-08	1.89198287948186e-08	-7.6112886100694e-10	2.11979290241298e-08	1.89645654420183e-08	2.1246541294922e-08	2.0149668011571e-08	1.7374748042364e-08	1.9055170007081e-08	1.74433159385388e-08	1.75709067873139e-08	1.95104889431754e-08	1.45672060431625e-08	1.97641098779537e-08	1.78553753167187e-08	1.98583347975425e-08	1.7037361608112e-08	2.04470684592635e-08	1.98364558588921e-08	1.88658162432626e-08	7.6659051205296e-09	1.72471925200479e-08	1.81215937524735e-08	1.93252624666702e-08	1.68602687471844e-08	1.97997127463421e-08	1.94874240380993e-08
"HMR_4097"	3.39782969946914e-05	2.19924640351245e-05	1.63043767799106e-05	4.2046947622714e-05	2.21505229623978e-05	1.67837499439411e-05	1.36656865993532e-05	1.97833102335053e-05	2.10507605433628e-05	1.4116958606899e-05	3.78432466222629e-05	4.10431661848625e-05	2.5193834473545e-05	3.13870425063289e-05	0.000403567243586984	2.25257223344211e-05	1.85268551198792e-05	3.31826001611291e-05	2.43881403506896e-05	1.11183302228015e-05	1.41528675026762e-05	2.54164782337481e-05	1.51631208507146e-05	3.26898063706274e-05	5.69635441639403e-05	2.21274736479711e-05	1.30982242976496e-05	1.25191353690227e-05	2.17542326318334e-05	4.49152394961654e-05	5.78318243475111e-05	4.11075084684273e-05	0.000309411453099571	8.71176674876377e-05	4.16028814157491e-05	2.65749599546137e-05	2.72098049994672e-05	4.33190566870492e-05	2.26456326810974e-05
"HMR_4099"	1.73052745450324e-05	1.58998938840929e-05	1.55849907675022e-05	1.7706151261778e-05	1.78054079798564e-05	8.27936645108636e-06	1.35690078842177e-05	1.90143808263661e-05	1.36194868671787e-05	1.06172414707928e-05	2.93294616927817e-05	2.60922372252549e-05	2.27275385599362e-05	3.99424184402365e-05	0.000479650775106736	2.52994537468939e-05	1.79983354762525e-05	1.94473834897548e-05	3.92171991607412e-05	1.00876811512204e-05	1.01561481700628e-05	2.74577786456571e-05	1.92284192961257e-05	1.11567239631076e-05	1.74120835471274e-05	2.17924627757565e-05	1.39443364959931e-05	1.01189787025725e-05	4.86550530191491e-05	2.71831657924632e-05	2.61729409822545e-05	1.459040244711e-05	0.000338177250721806	2.68724766568496e-05	1.48146662874665e-05	1.51065873081309e-05	1.62287485159871e-05	2.59189370838074e-05	1.70466976578138e-05
"HMR_4108"	0.00105138847352792	0.00080647598163698	0.000655632703409966	0.00140593881350207	0.00084728404823057	0.000934185597031579	0.000644735427304733	0.000758281438666355	0.000765384813686315	0.000566831812725347	0.00126581359464928	0.00124007571829545	0.000795445991579988	0.000945533468269639	0.000802778521296585	0.000760321339165674	0.000690131284729076	0.00119186411779357	0.000834692955746104	0.000650066960123545	0.000671115510437047	0.000915564606192684	0.000701337499371433	0.00158274981885166	0.000804667977882619	0.000813020913555103	0.000650017024299361	0.000684025171551745	0.000746658388927602	0.0011749123618629	0.00165493559892983	0.00117841826187027	0.000944214172130871	0.0019714311901706	0.00138045677692055	0.000864186554978273	0.000989603106220161	0.0011850525311295	0.000791974549502212
"HMR_4133"	0.00105138847350739	0.000806475981616256	0.000655632703381992	0.00140593881348077	0.000847284048209216	0.000934185596998299	0.000644735427261797	0.000758281438641576	0.000765384813665281	0.000566831812702317	0.00126581359463042	0.0012400757182751	0.000795445991560113	0.000945533468252067	0.000802778521340801	0.000760321339144996	0.000690131284707701	0.00119186411777163	0.000834692955723569	0.000650066960091927	0.000671115510413377	0.000915564606170862	0.000701337499285644	0.00158274981753818	0.000804667977757857	0.000813020913534739	0.00065001702449309	0.000684025171492468	0.000746658388906545	0.00117491236184342	0.00165493559891037	0.00117841826185219	0.00094421394944926	0.00197143119015383	0.00138045677689465	0.000864186554958613	0.000989603106195208	0.00118505253111054	0.000791974549482081
"HMR_4137"	0.00133581924752261	0.000646212369231129	0.000528617477746138	0.00049621057996909	0.000794284108723758	0.000460810468791338	0.000328175451290893	0.000809186552589245	0.00113976368113635	0.000782270166218654	0.00101997280865041	0.000749170703927007	0.00184901761912086	0.00151868457575314	0.134615365350615	0.00102628073323767	0.00120911264959092	0.000640544560957032	0.00104159174457422	0.000290956817205968	0.000426217469348887	0.00128676764030324	0.000441875132776349	0.000346574496480489	0.00096776849333028	0.000853661289620911	0.000352727223944539	0.00017063608309402	0.000737709774362299	0.00174940694382952	0.00217555301561051	0.00169602790071294	0.00564644871873374	0.00252279395140133	0.000964531026334781	0.00139308826905916	0.00115722362427015	0.00236649461279488	0.00102582376771547
"HMR_4281"	0.162787144597519	0.152827364699312	0.149120305998489	0.136538983121936	0.155674278669088	0.152799527754108	0.16135808980093	0.154882961466682	0.154107977633581	0.148517133773402	0.165270979867804	0.155298990843439	0.1587905524513	0.139786564284325	0.11700154437572	0.155177543906761	0.1534274777198	0.154999451790234	0.192059487340733	0.149598836758963	0.152287323528156	0.177553456432043	0.16179314267431	0.171581924361792	0.168970771538108	0.147066675197506	0.160894082283745	0.155650630023041	0.162574328447457	0.169244672910681	0.169678339346985	0.154021691095259	0.166153526222004	0.166802235808012	0.162541847165528	0.15852289801264	0.174798997961025	0.170539893536586	0.150336233460053
"HMR_4388"	-0.119490153025929	-0.118150570193051	-0.127562081162239	-0.100514973740367	-0.150203229602826	-0.0984844700057694	-0.142403041320784	-0.119401557448877	-0.132674515601472	-0.110625080794742	-0.140927551728014	-0.119543632711733	-0.126850643313994	-0.0851761436064189	-0.0503599311811425	-0.130338172119027	-0.126843698725411	-0.149653566502883	-0.176192117539926	-0.137772340989928	-0.118894635860064	-0.16035642080024	-0.145437451411218	-0.141307067015673	-0.136768409829862	-0.134698345699279	-0.150342873580557	-0.142625374703666	-0.167003744445998	-0.124409587422702	-0.118990207312159	-0.0947863919453907	-0.140023946294063	-0.127468042725296	-0.11171636609229	-0.108631802042552	-0.16267264445949	-0.141890904911291	-0.132670093303648
"HMR_4283"	0.00200078890031848	0.00160269211411696	0.00139755175441205	0.00138990656048992	0.000876957224729973	0.00103432302238261	0.000710201404355558	0.00112264275833688	0.00124769738966496	0.00088969981996377	0.00118341482070226	0.00140138780121915	0.00157834890622928	0.00121730606129515	0.00378778136864001	0.0016732343416898	0.00162586961116618	0.0011177579135804	0.00138186028282681	9.73450177807887e-05	0.000293611616398216	0.00159474700843252	0.000787931050188702	0.000447159428130595	0.000720765795627027	0.000727609034692017	0.000492348079234756	0.000385508282375881	0.00112951164829041	0.0015516717022211	0.00189314607477567	0.00235493559846396	0.00329775594503553	0.00130165135873932	0.00146844407414976	0.00276242329535236	0.0011110284336635	0.00181025171143629	0.00104949938576067
