"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_3905"	-9.8852995661617e-09	-9.88586967176691e-09	-9.88796054951564e-09	-9.88697278153424e-09	-9.88693554958008e-09	-4.33185265248294e-09	-9.88780859065029e-09	-9.88788967339893e-09	-9.88630603846917e-09	-9.88644700417865e-09	-9.88634701769242e-09	-9.88701451302399e-09	-9.88603519041934e-09	-9.88726405629352e-09	-9.88824016970693e-09	-9.88713621093177e-09	-9.88572656880379e-09	-9.8881972643811e-09	-9.88832308546082e-09	-9.88656349309146e-09	-9.88616429000611e-09	-9.88644100215332e-09	-9.88715589448919e-09	7.34207567798291e-10	-7.54534029749144e-09	-9.88729966353707e-09	-9.88769589374698e-09	-9.19537188747015e-10	-9.88890371126802e-09	-9.88654492393973e-09	-9.88581100348587e-09	-9.88514270230548e-09	-9.88667240223941e-09	-9.88376477449719e-09	-9.88577154111489e-09	-9.88563197900485e-09	-9.88568421935651e-09	-9.88548365027537e-09	-9.88645022746416e-09
"HMR_3907"	1.85608693299214e-08	1.7246721258622e-08	2.21186790206513e-08	1.94813157700784e-08	2.01651593178774e-08	2.43969275161745e-09	1.91677500776253e-08	2.08612024637354e-08	2.10028417585028e-08	1.92694382567086e-08	1.68138521614973e-08	1.70876380507405e-08	2.07787535067369e-08	1.93120610287116e-08	2.10355148203599e-08	2.19290541913646e-08	1.93420175235357e-08	2.20119806757518e-08	2.04059172134658e-08	1.80067732397072e-08	1.9583644717492e-08	1.77815469111618e-08	1.79146010492462e-08	7.27744792760184e-10	3.27488059136778e-09	1.98494155980179e-08	1.78587445998622e-08	-9.19534563334688e-10	1.66877780580519e-08	2.08589673386067e-08	2.00647283395117e-08	1.91848361549238e-08	1.81503720983866e-08	1.75624519799818e-08	1.86430464284971e-08	1.98044805533358e-08	1.70495751752326e-08	2.00500898221877e-08	1.92379475589103e-08
"HMR_4097"	3.27129096989961e-05	2.1153281063512e-05	2.03225162393772e-05	4.265269606905e-05	2.08259226965758e-05	0.000439176414573322	2.07028293622157e-05	1.94381964964373e-05	2.1462730877566e-05	1.53971467257573e-05	3.54693388660438e-05	3.50498696756123e-05	2.38024624579482e-05	2.88407625292944e-05	5.68865379076059e-05	2.48087168579359e-05	1.81262285248723e-05	3.83374803477181e-05	2.33294641502367e-05	1.44361144844235e-05	1.60246623102091e-05	2.47949066230619e-05	1.8890492952246e-05	0.000521426083171856	0.000261472961672074	2.18387283124745e-05	1.3192681667884e-05	0.000379572410006598	1.71280563907384e-05	4.24874696991848e-05	5.3330443753302e-05	3.7188662574905e-05	1.43802519781058e-05	7.39063153894711e-05	4.74779471760282e-05	2.52223679981404e-05	2.09260560233434e-05	3.87237736188668e-05	1.6969839745967e-05
"HMR_4099"	1.72204480650398e-05	1.56264637935379e-05	1.88729667706022e-05	1.82607472458833e-05	1.71591304972812e-05	0.000487712676775781	2.0025908417407e-05	1.9249056749029e-05	1.41976617400193e-05	1.16169785271764e-05	2.85593363567193e-05	2.30164663268803e-05	2.23634614057909e-05	3.83588604051891e-05	1.59575790126959e-05	2.75226958507375e-05	1.82527235258998e-05	2.21867398904765e-05	3.86224023937038e-05	1.24858552432209e-05	1.12556853470294e-05	2.76826057257344e-05	2.52674097206943e-05	0.000615726649984842	0.000137833475564087	2.18425619997811e-05	1.43795349856746e-05	0.000452606820465109	4.08756703151013e-05	2.66765031256032e-05	2.48995687431958e-05	1.39359338230566e-05	1.1885436233231e-05	2.43974994349802e-05	1.72553990973259e-05	1.49754143819544e-05	1.24385000941515e-05	2.44967513622122e-05	1.37699828230575e-05
"HMR_4108"	0.00103359249940709	0.000792408126191183	0.000733870554608351	0.00141637638616219	0.000823516192125391	0.000945906204902418	0.000794716743199984	0.000752226778499774	0.000774217172971098	0.000592583286231278	0.00122724252499618	0.00115007352706609	0.000773859397032778	0.000907451168090611	0.00241629736090131	0.000800271091959987	0.000682878850627545	0.00128286745088758	0.000817044885693735	0.000741245096249867	0.000715215948770052	0.000904896246419109	0.000784411899734119	0.00103300508325557	0.000691782703562875	0.000807794126357264	0.00065251285784307	0.000753000089781436	0.000662344263628998	0.00114494530799387	0.00159183190424563	0.00112128374973187	0.000616126038396671	0.00181641716108709	0.0014758248995778	0.000842296485082669	0.000867151774133065	0.00112081042690218	0.000685867555427549
"HMR_4133"	0.00103359249938694	0.000792408126170604	0.000733870554587746	0.00141637638614175	0.000823516192103758	0.000945906160048239	0.000794716743178276	0.000752226778476003	0.000774217172951643	0.000592583286211132	0.00122724252497707	0.00115007352704351	0.000773859397013058	0.000907451168072693	0.00241629735532133	0.000800271091941813	0.000682878850606917	0.00128286745086952	0.000817044885671183	0.000741245096228944	0.000715215948749692	0.000904896246397782	0.00078441189971011	0.00103300508324898	0.000691782703429846	0.000807794126336998	0.00065251285776792	0.000753000089833454	0.000662344263602832	0.0011449453079744	0.00159183190422547	0.00112128374971331	0.000616126038400483	0.00181641716106919	0.00147582489955648	0.000842296485063353	0.000867151774071638	0.00112081042688244	0.000685867555400873
"HMR_4137"	0.00113707745094032	0.000563094919249607	0.000705201365909914	0.000481949630065286	0.000655525725966285	0.0069861436689303	0.000610840194034835	0.000713393675311796	0.00108625970702928	0.000845691918253979	0.000818941757162898	0.000518064485442098	0.00150998962145878	0.00117852367579098	0.000475496831813069	0.00112597425815473	0.00105326839669316	0.000763048790691541	0.000884808045157027	0.000483005882112485	0.000515246682487261	0.00110662161140762	0.000624995483994488	0.0104802134551601	0.00374762278263041	0.000805199344617451	0.000341626782496548	0.0104432235405798	0.000442695179780086	0.00141151653231241	0.00178881491475355	0.00128197344740913	0.000364460133512739	0.00171066444443477	0.00106508267257385	0.00112113035559133	0.000652735065013014	0.00177565409294641	0.000567065880021562
"HMR_4281"	0.160494571213268	0.151726545913069	0.140190948253898	0.13475012693676	0.154941064904966	0.155727244699282	0.145709439398696	0.151948087194711	0.149588928210619	0.143562769389056	0.164412421833435	0.157871146413307	0.156715547265419	0.138416776825274	0.148943704885388	0.149865214544744	0.150722048847405	0.147378872686856	0.189900343221932	0.140239350055278	0.147192259468008	0.17448234993221	0.150351126505836	0.167639604356364	0.165850214269153	0.146379946431245	0.159110992485029	0.141437253955075	0.169257045520416	0.167273406628916	0.169771625905643	0.153035512246888	0.170772179122227	0.167048071156977	0.155562084950925	0.15610085484998	0.184458433533116	0.170118455251077	0.156940702675917
"HMR_4388"	-0.134576789001215	-0.128112184899568	-0.132669772552587	-0.106031026357068	-0.163635312277125	-0.086471272251886	-0.143053620668701	-0.133675232026365	-0.14642810844354	-0.118610504512939	-0.155188888580894	-0.135352967191702	-0.143635636334676	-0.104574727008072	-0.106021298346212	-0.137704133009228	-0.139802221740647	-0.154535831138353	-0.190465537479729	-0.130999437471134	-0.119456903016284	-0.175107100476873	-0.150723185222782	-0.126403036582921	-0.136744736988595	-0.139051586008249	-0.153511658563424	-0.117474911938147	-0.182328713374673	-0.141830405412372	-0.13263802909352	-0.114117070175129	-0.167424592566647	-0.150770556344096	-0.121544638542373	-0.127644577498663	-0.178125772899736	-0.160749190469735	-0.150866153236018
"HMR_4283"	0.00201291350718349	0.0015992764578328	0.00145227871943552	0.00139875130798709	0.000873958311071101	0.00397998929455892	0.000767809507124137	0.00113692526976622	0.00126763060382066	0.000915271357449932	0.00117877665191107	0.00137775232575659	0.00158946876041358	0.00122077451699969	0.000506749793109648	0.00171343718132219	0.00163967061348475	0.00115909807690831	0.00138535924961107	0.0001024363067984	0.000298132929497381	0.00160124902368518	0.000834586051477891	0.00403907598956376	0.00223237687843632	0.000727890882357581	0.000500298197050546	0.00353199559130562	0.00108948635199224	0.0015568965313952	0.00188591541399788	0.00235774697529086	0.00114721397939336	0.00129702191212955	0.00150048011055423	0.00278701190998815	0.00105751303128406	0.00180935889869756	0.00101219741275594
"HMR_8357"	0.0153584242061398	0.0162328412394629	0.0156168729864802	0.0175767301488876	0.014275757560871	0.00732466544570713	0.0161732491897025	0.0142948207505489	0.0169996214557056	0.0165814338747965	0.0161310630015741	0.015912323525728	0.0164246233877629	0.0161999635163087	0.0136997726149222	0.0164795987923445	0.0145721571590738	0.015590320674654	0.0148935858383479	0.0163772403410011	0.0190467673550657	0.0162765350346094	0.0169365845514507	0.00812385654328769	0.00915045890295128	0.0182897644412032	0.0118646395973519	0.00845698513766819	0.014542170941858	0.016686135629439	0.0173831394480219	0.0176794567646412	0.0141318606379749	0.017125320366021	0.0169804295384452	0.0172033410206549	0.0144355962340599	0.0165427835255917	0.0138844498747313
"HMR_4379"	0.0739397786399713	0.0629320829326283	0.0660269054486914	0.0649852949195878	0.067806486981273	0.111004567341633	0.0655401011051464	0.0767237550843963	0.0723017183859417	0.07115216939723	0.0652156101694122	0.0667370034033636	0.0790982192784294	0.071364952241458	0.0561647326323679	0.0724626979064102	0.0639188375815802	0.065214306053269	0.0782182492113518	0.0516312487416032	0.0509867365823463	0.0752933582751206	0.0626230122961898	0.0983828846543751	0.0642776959283939	0.0617186313930361	0.0536390282258215	0.0877977602917566	0.0680747369268537	0.0835239780160734	0.0825099680505795	0.0777683762032064	0.058060918696575	0.0748351417739121	0.0700619384242032	0.0767402800953003	0.0581631442934049	0.0748955433380832	0.0623022629411961
"HMR_4301"	0.0744128235285109	0.0653599632156939	0.0680572487257478	0.0676997642622511	0.0687624805734852	0.094938337538823	0.0669411986170195	0.0772803981219417	0.0724206728442371	0.0715026179001367	0.0674767975629257	0.067976427105517	0.0777088631018308	0.0734472042340308	0.0566008379911109	0.0745277652811791	0.0672850495123931	0.0690690493090946	0.0770443901045001	0.0577657099996993	0.0548049435995026	0.0758312327264111	0.0627457771755799	0.0859699890075419	0.0662465897777145	0.06416505326209	0.0556490533226172	0.0774018017611342	0.0680062123335607	0.0830425670233467	0.0851259365341808	0.0771930046540374	0.0612126303327097	0.0762410487886312	0.071764798664534	0.0776895232351325	0.0609619855998631	0.0760133335520119	0.0641895148840869
"HMR_4355"	0.0182129129941133	0.0166468960314313	0.0156626703849796	0.0149047479158801	0.0187853094335716	0.00557823450971415	0.0187220874027642	0.0229329185724579	0.0178079448307792	0.0184342715119829	0.0149134248506603	0.0202820479934521	0.0199353839477933	0.0182327189339514	0.0180503173460755	0.0219283004951566	0.0181224395678317	0.0155360721813856	0.0222718723365215	0.0109790447388777	0.0144440426677643	0.0227307383741652	0.0191984216091049	0.00529556743739643	0.00797078349739509	0.0154467256874193	0.0151081308040092	0.00424547629594112	0.0230315446761506	0.0215137723270331	0.0210778738168113	0.0209912890620395	0.0188966787478917	0.018856176902111	0.0185223211902294	0.0213379664904437	0.0180268960317703	0.0184551943934891	0.0174393544072836
"HMR_4358"	0.069470508181689	0.0638203501153442	0.0640514291748521	0.0632664792333735	0.0640243242311939	0.0921967305044318	0.0638069850969307	0.0718430055928694	0.0666162934740862	0.0642043739195214	0.0677171311878711	0.0622475594379704	0.073341000666842	0.0631849588693903	0.0568311521638573	0.0671781850769741	0.065053924993623	0.0643165182140513	0.0708984716625747	0.0658123269720713	0.0579165795899939	0.069893821744963	0.0612598159222037	0.0860935580916369	0.0703020130774146	0.0634349560026451	0.0563250618939497	0.0775254977911718	0.0683083909548518	0.074571869653523	0.077411475368091	0.068831731865173	0.0610283028039471	0.0740201652483349	0.0682892431757572	0.0775361680892132	0.0595234601686511	0.0728647946072115	0.0629176542580376
