"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88546090412292e-09	-9.88584572192379e-09	-9.88803154031444e-09	-9.88688553903843e-09	-9.88703569620911e-09	-9.88671162909965e-09	-9.88791365538552e-09	-9.88790693095083e-09	-9.88655801902784e-09	-9.88657685947226e-09	-9.88649969863452e-09	-9.88708222652047e-09	-9.88614027778852e-09	-9.88737255726311e-09	-9.88821901510289e-09	-9.88731623345869e-09	-9.88587246644481e-09	-9.88836649103027e-09
"HMR_3907"	1.77511057367088e-08	1.71780763560977e-08	2.15607747625676e-08	1.97703938199866e-08	1.96002148157637e-08	1.81673618155164e-08	1.85751361924529e-08	2.06894682857637e-08	1.99904516793881e-08	1.8577026693605e-08	1.61995006066965e-08	1.65936151303273e-08	2.02014283764467e-08	1.88289403156609e-08	2.10030550542708e-08	2.10349616777086e-08	1.86043400413359e-08	2.11500039897937e-08
"HMR_4097"	3.48398880055219e-05	2.7045919303477e-05	2.2264085013338e-05	5.42089158727747e-05	2.2296393696812e-05	1.56138137596137e-05	2.10494492774577e-05	2.410907554905e-05	1.88799205082351e-05	1.65223732392019e-05	3.53005370218306e-05	4.0441356642643e-05	2.60869574288463e-05	3.15590836689112e-05	6.38630604270557e-05	2.16862551304685e-05	1.90145324338513e-05	3.36695123766779e-05
"HMR_4099"	1.78261125873156e-05	1.86100510875348e-05	2.00836994877324e-05	2.13069526573659e-05	1.78195572799278e-05	7.44211410922737e-06	1.98499725993721e-05	2.2070278702132e-05	1.23922404418676e-05	1.20776349746068e-05	2.73756444724937e-05	2.56057127778673e-05	2.33091730772684e-05	3.97868929065903e-05	1.70083892270869e-05	2.42323487391465e-05	1.85143372466219e-05	1.9468029344619e-05
"HMR_4108"	0.00106245800288826	0.000894431598332806	0.00076602344354579	0.00159701656506453	0.00084999940436647	0.000900026480024066	0.000803252994187039	0.000837840620642071	0.000724373028927518	0.000612479369176787	0.00122570015057459	0.00123002803313035	0.000808942889887096	0.00094932165489753	0.00256168622179147	0.000746310185034078	0.000697023365956679	0.00120024683604037
"HMR_4133"	0.00106245800286815	0.000894431598315659	0.000766023443525774	0.00159701656504799	0.000849999404345272	0.000900026480172168	0.000803252994164527	0.000837840620621327	0.000724373028903983	0.000612479369156875	0.001225700150554	0.00123002803310969	0.000808942889867724	0.000949321654880032	0.00256168622194877	0.000746310185012793	0.000697023365935797	0.00120024683601872
"HMR_4137"	0.00149126403598919	0.000986960865325104	0.000969676029615369	0.000868276012624392	0.000877381680078079	0.000410597872464113	0.00075818250092882	0.00124080952489393	0.00100056223837223	0.00112445984885458	0.000971707057159237	0.000797234159726068	0.00212418193087042	0.00163494539197621	0.000566487891439338	0.00106498657739569	0.00136001328411022	0.000753366453888963
"HMR_4281"	0.155984565454511	0.137680935738593	0.131931387854023	0.120540211852065	0.14969592576747	0.145079493935358	0.139711153055662	0.14034104224465	0.157361215181179	0.138100509262705	0.159601059899855	0.142551418372102	0.145245835682972	0.135760917039236	0.128610055070645	0.145117262524917	0.145054468325068	0.13513934880497
"HMR_4388"	-0.105388635690132	-0.0937757812502726	-0.100493840454219	-0.0751753849042142	-0.134021392907475	-0.0789984671121228	-0.111048439749182	-0.0937216974513168	-0.131304686735992	-0.0917548240655928	-0.124856252893063	-0.0949912469313396	-0.100008896058644	-0.0741126111008655	-0.0682896083667888	-0.107236691768023	-0.109361901758293	-0.109083254263859
"HMR_4283"	0.00200010085436395	0.00162973507408575	0.00146062543322799	0.00142219121577043	0.000871671464542532	0.000984107021618789	0.000760487321636015	0.00114572430779755	0.00121696264326697	0.000903751422123248	0.00116736952976455	0.00138784242761721	0.00157949506141336	0.00120831216229337	0.000515124948301813	0.00164742565400977	0.00163067537050749	0.00111186030217313
