"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88548301520491e-09	-9.88600148226899e-09	-9.8881354085321e-09	-9.88708191452138e-09	-9.88708024747521e-09	-9.88673400354889e-09	-9.88791018166775e-09	-9.88793677252469e-09	-9.88646306523087e-09	-9.88663002101508e-09	-9.88645744459648e-09	-9.88724872025727e-09	-9.886170049142e-09	-9.88737246878327e-09	-9.88824159110094e-09	-9.88735442776873e-09	-9.8857291767783e-09	-9.88842422769402e-09
"HMR_3907"	1.77203887386796e-08	1.66639798145854e-08	2.1215034984165e-08	1.90280370838642e-08	1.94766467196395e-08	1.80920834569503e-08	1.87109015156166e-08	2.061587384246e-08	2.03208879080018e-08	1.84347537383181e-08	1.63720970654837e-08	1.61478621942168e-08	2.01403434042114e-08	1.88981301985185e-08	2.08880319624315e-08	2.09280235922302e-08	1.92275712537329e-08	2.09942710893621e-08
"HMR_4097"	3.36916050097712e-05	2.2080526787597e-05	1.90664528014691e-05	4.19603163853291e-05	2.10211037278701e-05	1.56001292624013e-05	2.17497650578336e-05	2.33140104138296e-05	2.17041047248507e-05	1.54192985221996e-05	3.83490196937669e-05	3.08511979765227e-05	2.55142625156222e-05	3.12409880470444e-05	6.39297453560323e-05	2.08643880222139e-05	2.32636468311397e-05	3.22329400236011e-05
"HMR_4099"	1.72992875643636e-05	1.59068318936505e-05	1.7821877324638e-05	1.75610993214173e-05	1.69750905851768e-05	7.50290862370732e-06	2.01769734309137e-05	2.1531077995387e-05	1.39059019484703e-05	1.13973583980657e-05	2.94457038180563e-05	2.03842986741101e-05	2.29802355735252e-05	3.92724253059534e-05	1.7323643729584e-05	2.35794150180024e-05	2.13890070892448e-05	1.89331729272678e-05
"HMR_4108"	0.00104420126933787	0.000807238656231795	0.000707508383107022	0.00140345447727834	0.00082469458293885	0.000898724314190487	0.000813378617682112	0.000823018426265181	0.000776811648256262	0.00059067713553769	0.0012740643400141	0.00107345333458867	0.000799193852987442	0.000944249553062929	0.00256270994365983	0.000731687287399578	0.000771579313839767	0.00117367235147551
"HMR_4133"	0.00104420126931728	0.000807238656211314	0.000707508383084319	0.00140345447725734	0.000824694582916456	0.000898724314134964	0.00081337861766067	0.00082301842624396	0.000776811648235901	0.000590677135516757	0.00127406433999564	0.00107345333456096	0.000799193852967936	0.000944249553045435	0.00256270994357722	0.000731687287377713	0.000771579313822738	0.00117367235145325
"HMR_4137"	0.00141922687888344	0.000709743855408386	0.000746967236481694	0.000560306727801653	0.000788039119914794	0.000405874841259046	0.00080329114790686	0.00117405265749007	0.00128704021707063	0.00100720050633892	0.00112567798616572	0.000508368105196973	0.00203807754673211	0.0016311475599252	0.000570489681664424	0.000988727328036339	0.00189086716218914	0.000677175273313174
"HMR_4281"	0.159996669347586	0.150985238850225	0.142331420115454	0.135256686428941	0.154447656723606	0.155704242204619	0.144998473378429	0.147074329939546	0.150811298332144	0.14447412883968	0.16223359182247	0.161125911352535	0.155488234542073	0.137731224811237	0.144969088416201	0.15532408303943	0.144736062589984	0.153299136693429
"HMR_4388"	-0.110754225825892	-0.111314466726286	-0.115587840818412	-0.0938545499337942	-0.1412147386605	-0.0952858655541702	-0.122639030942601	-0.104622433897005	-0.123277333683889	-0.100923406613324	-0.132419986988027	-0.118260878940027	-0.117309599202946	-0.0769133865848874	-0.0913659507795436	-0.124247944141062	-0.114101046821484	-0.141288773128318
"HMR_4283"	0.00198811742056098	0.00158682964780861	0.00142180659663636	0.00136981573626793	0.000859866985179429	0.00098750543281658	0.000759292144146248	0.00113835473052005	0.001242478355706	0.000890759805192596	0.00117063409518374	0.00134560489016807	0.00157192159158711	0.00120228288602807	0.000519738040194194	0.00163609177179136	0.00168597789140016	0.00110164923503291
"HMR_8357"	0.015097608475078	0.0161707546433856	0.0148393020018333	0.0171701045967624	0.0138949135638877	0.0122335063095406	0.0160769170167868	0.0148701970333134	0.0163946094477755	0.0161116474336092	0.0161570578358817	0.0147479027650401	0.0163054030389814	0.0159990755785665	0.0139264012895642	0.0148405320441577	0.0159288762786216	0.0138470937959036
"HMR_4379"	0.0857087461842687	0.0725033442885555	0.0757404328212461	0.0749685185720714	0.0781147075791461	0.0719468000460239	0.0759273577667279	0.089887318387983	0.0833488839883402	0.083627893047158	0.0761806719644433	0.0755357874747539	0.0917644774863136	0.082754834519991	0.0599211377396005	0.0816445428299415	0.0750288817132806	0.0749710025354258
"HMR_4301"	0.0875385713080167	0.0756492520406586	0.0787386883581714	0.0777501512681888	0.0800340493836415	0.0737979940899277	0.078264413081107	0.0916722434654847	0.0849697744834173	0.0841260809675097	0.0797257282344823	0.0778685736919289	0.091659095771682	0.0869743948822062	0.0626862409845482	0.0846084659312639	0.0798265512340489	0.0800089256830613
"HMR_4355"	0.0150611796961723	0.0140873443856955	0.0135195662720289	0.0128919502943223	0.0156730992147704	0.0176391136675702	0.015436120621917	0.0182824743913207	0.0146296220773235	0.0157389420509329	0.0123585316943151	0.0175537152250607	0.0160296864313582	0.0145176031599115	0.0159355437853309	0.0192381151576206	0.0146746439068683	0.0133034111392812
"HMR_4358"	0.0850037109040253	0.0736716266027107	0.0756275406538234	0.0726622448693005	0.0772231600376721	0.0773745412868649	0.075087140094971	0.0849935875626404	0.0825573797507591	0.0740272361220487	0.0796909808465907	0.0760959598101271	0.0882759756557084	0.0843755657101228	0.0662187411047572	0.0797620341735029	0.0749334687176934	0.076067105701856
"HMR_4360"	2.0696410183692e-05	1.29154366130574e-05	1.04633268642256e-05	1.23369526684437e-05	1.14757814004334e-05	1.53791627812919e-05	1.16982530721638e-05	1.29320538976418e-05	1.15194794962473e-05	1.78612117429567e-05	1.95003421647102e-05	1.78036065751003e-05	2.10750582242192e-05	1.21179731015081e-05	1.27491697344169e-05	1.80525778012201e-05	1.69328870704421e-05	1.33051087612773e-05
"HMR_4363"	0.423678835892396	0.382627772578973	0.391760260645794	0.389923154135845	0.397418489723256	0.400400152848685	0.392512193348128	0.429556701007315	0.416151420020445	0.401525812865213	0.40739352355786	0.394882863161421	0.443660349064325	0.409573945291365	0.355345394628822	0.407024203228111	0.392027663601665	0.395089407720672
"HMR_4365"	-0.411088091733325	-0.366994768805077	-0.37679641895433	-0.374119819802249	-0.381108829118745	-0.380564905710739	-0.375473580285499	-0.416558895847168	-0.402413757111493	-0.389891499867615	-0.392381801101281	-0.375974650926972	-0.4313296244061	-0.397859443916611	-0.336150178920014	-0.390083777416568	-0.378233057365597	-0.379975436291972
"HMR_4368"	0.404336448420874	0.352769622527134	0.365656692950402	0.355752420682775	0.369802173272713	0.361279542330628	0.365595905898359	0.408690754495693	0.393721169481501	0.380426258869705	0.381833508082267	0.363460033355232	0.423304702105124	0.395344119397718	0.318661537066953	0.38091650880751	0.367809400803523	0.365468117163849
"HMR_4370"	5.10133974470645e-06	3.33040912782297e-06	3.97159187681412e-06	2.77841649801019e-06	5.05487615374129e-06	2.78106131225515e-06	4.08395832689594e-06	2.71096936254835e-06	3.34255699177989e-06	3.55485692701432e-06	4.73159557051199e-06	4.72282426675838e-06	5.36455789438349e-06	5.89472829897972e-06	3.41472852757763e-06	3.28839277760953e-06	3.32476522980995e-06	3.28919030947671e-06
"HMR_4371"	0.000468526310576087	0.000304972227165366	0.000391497562664386	0.000397959639711472	0.000449476606230684	0.000208927584461044	0.000358144518381307	0.00038773490866041	0.000407726479034664	0.000409637379117788	0.000367686376146191	0.000472993809831455	0.000504726742131522	0.000488705853758442	0.000252089947891932	0.000326322073522021	0.000329824261383013	0.000357961266741608
"HMR_4372"	0.000468526311840259	0.000304972228429859	0.000391497563929162	0.000397959640975603	0.000449476607494731	0.000208927585794786	0.000358144519644852	0.000387734909924199	0.000407726480298918	0.00040963738038188	0.000367686377410986	0.000472993811098864	0.000504726743395894	0.000488705855023644	0.000252089949211161	0.000326322074786284	0.000329824262646421	0.00035796126800578
"HMR_4373"	-0.404843552953321	-0.353099821851574	-0.366079872752075	-0.356170842750272	-0.370285176226569	-0.36150597987446	-0.365976730555413	-0.409108318686678	-0.394157021584426	-0.380858755334833	-0.382241178286694	-0.36396990030722	-0.423851632111541	-0.395883277611202	-0.318937105000048	-0.381272547189618	-0.368166953023389	-0.365855115031401
"HMR_4375"	-0.173197415416718	-0.14811477528154	-0.154424892990833	-0.152686827061281	-0.158092582900103	-0.145693459881829	-0.154151769337639	-0.181499189724717	-0.168255462808613	-0.167686392145666	-0.155853882886962	-0.153370801182317	-0.183373515869941	-0.169705420488604	-0.122584706051528	-0.166214241824384	-0.154807622053221	-0.154929125429014
"HMR_4377"	4.99064158264398e-05	3.78272494491369e-05	5.42331914611212e-05	3.1848911413642e-05	5.61790201036046e-05	5.1340246510976e-05	4.00074050899644e-05	6.03775433586818e-05	6.32005009377546e-05	6.75872031494282e-05	5.25237914695174e-05	3.35636569669428e-05	5.00612775730777e-05	2.38133596948152e-05	2.26789969212801e-05	3.87708647135673e-05	4.78159500961704e-05	5.08083345505857e-05
"HMR_4381"	-0.0459399457658326	-0.0371338642996599	-0.0412097779774662	-0.0425784586445374	-0.0392752132464092	-0.0420242386572313	-0.0350541246456095	-0.0421600570316005	-0.0451487161779974	-0.0489171197622258	-0.0392425666313422	-0.0322900760408243	-0.0433344795764593	-0.0408371146379373	-0.0219987334462719	-0.0408646742223994	-0.0370180370724244	-0.0367787800648035
"HMR_4391"	0.181149447044123	0.160976907771911	0.164109285256901	0.166798432162131	0.167304564849781	0.170096711201216	0.162828440062405	0.17553445320524	0.178349772962322	0.173147945024822	0.17473771958739	0.157309742618642	0.182128103264599	0.170469461895038	0.150149729671506	0.174564358108225	0.169447450235699	0.164380338833563
"HMR_4394"	0.0533989868612879	0.0448049533379458	0.0458098590186838	0.0444109485494492	0.0486897162791537	0.0477549815411916	0.0453441022402639	0.0534370584744883	0.0504866779329362	0.0517936905289055	0.0488217549499577	0.0444168036730954	0.0563557727449975	0.0502988420409557	0.0373937611635727	0.0494286006523702	0.0473284887860714	0.0445749244880237
"HMR_4396"	-0.0244955280858587	-0.0216422148153813	-0.0223092490991973	-0.0232386568754329	-0.0239212228261779	-0.0202845887966762	-0.0225581591141196	-0.0239115506616813	-0.0218504759358996	-0.0223532241811932	-0.0245835518823169	-0.0224249853374223	-0.0259819693791197	-0.024139420980899	-0.0202661493686464	-0.0248268632181694	-0.0228306995963354	-0.0230751383345925
"HMR_4521"	0.000317382922239027	0.000307917073806516	0.000303957787196558	0.000116013847961273	0.000412860107712461	0.000360820788740917	0.000249336333312191	0.00034423174700298	0.000294959534130913	0.000355188539010949	0.000109834242702533	0.000312939365864784	0.000309935720890926	0.000210319664532489	0.00020555254812455	0.00021226188014271	0.000326921704357921	0.000165886904457083
"HMR_6410"	0.003538461740671	0.00238843997974477	0.00305495272064704	0.00207522499527313	0.00241443729383603	0.0012044607696993	0.00303989361233938	0.00352401013085831	0.00364242291965445	0.00260860206913843	0.00251049566754351	0.00296161780463308	0.00426131764952771	0.00436028944075467	0.00171989316039674	0.00292431380637281	0.00378520174318293	0.00266666792556072
"HMR_6412"	0.00353846174068364	0.00238843997975679	0.00305495272066029	0.00207522499528474	0.00241443729384905	0.00120446076976102	0.00303989361235132	0.0035240101308708	0.003642422919667	0.00260860206915061	0.00251049566755501	0.00296161780464965	0.00426131764953954	0.00436028944076549	0.00171989316044153	0.00292431380638521	0.00378520174319301	0.00266666792557295
"HMR_7745"	-0.0307621958048743	-0.0280089466790045	-0.030573099216652	-0.0306966966293832	-0.0299516864808021	-0.0251092724614726	-0.0302779300186735	-0.0320115476210811	-0.0302503264180551	-0.032786914070178	-0.0322669574216758	-0.0281507503887453	-0.0336325316794209	-0.0262820348477309	-0.0276962638800708	-0.0323352643227361	-0.0309609630760377	-0.0309803462927959
"HMR_7746"	0.0244684229727716	0.0224381227445839	0.0248086212055002	0.0278590655473573	0.0240318185643607	0.0200741929851969	0.0251743240005074	0.0273182291933651	0.0239480737581696	0.0274163453088805	0.0245754064619874	0.0214619760970423	0.0260889756317892	0.0221760226391042	0.0176798004881197	0.0260594236640769	0.0245777210940328	0.0269418768219003
"HMR_7747"	0.0062937728321026	0.00557082393442051	0.00576447801115159	0.00283763108202572	0.00591986791644114	0.00503507947626303	0.00510360601816577	0.00469331842771588	0.00630225265988543	0.00537056876129743	0.00769155095968839	0.00668877429170335	0.00754355604763151	0.00410601220862656	0.0100164633919439	0.00627584065865892	0.00638324198200479	0.00403846947089537
"HMR_7748"	-0.00754092960523356	-0.00454013667907335	-0.00529078342306558	-0.0059036344788264	-0.00464138359418156	-0.00842650580470411	-0.00238055051746294	-0.00505429946074737	-0.00742151409079345	-0.00801871722440667	-0.0034442686491941	-0.00206138799520306	-0.00482941544498736	-0.00724471498118148	0.00283253778347453	-0.00425179841763629	-0.00301738179962499	-0.00288747799178449
