"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88530476010818e-09	-9.88556660778076e-09	-9.8874370299586e-09	-9.88662539288209e-09	-9.88668191516184e-09	-9.88626642080298e-09	-9.88744572821711e-09	-9.88757648729263e-09	-9.88621921411603e-09	-9.88638683485142e-09	-9.88599719521621e-09	-9.88655557563109e-09	-9.88589608766891e-09	-9.88692798539240e-09	-9.88776551528484e-09	-9.88694494553684e-09	-9.88553571803724e-09	-9.88776782101024e-09
"HMR_3907"	1.66363848796835e-08	1.57824656444736e-08	2.10648577817218e-08	1.86622010582868e-08	1.99934915890584e-08	1.74673547971785e-08	1.83812517828293e-08	2.01891156111923e-08	1.88935584289358e-08	1.70226402139325e-08	1.64436332622195e-08	1.67788334673532e-08	1.96656786636462e-08	1.93582817267269e-08	1.97641470475433e-08	2.03448156386522e-08	1.7829188835722e-08	2.00277944234497e-08
"HMR_4097"	4.77203060979723e-05	3.41914584118457e-05	4.09405475907461e-05	6.72511756613625e-05	4.02986296061381e-05	4.31186112125654e-05	4.22373253237392e-05	3.63630753239628e-05	3.91423191840666e-05	3.01141322019595e-05	5.45528885416975e-05	5.61467754271564e-05	3.67919564793317e-05	5.98578434962472e-05	7.32795364631086e-05	3.2589211694563e-05	2.80938261700963e-05	5.66717643685391e-05
"HMR_4099"	3.28885923254525e-05	3.04724710110062e-05	4.32017578286649e-05	3.76264134125199e-05	3.14922723520516e-05	3.03078438355662e-05	4.60335370991642e-05	4.00557061845782e-05	3.12028025355882e-05	2.90259617082072e-05	4.5913796688648e-05	4.61056483831565e-05	3.64257481433216e-05	6.90756616468644e-05	3.31764484187298e-05	4.21167720440947e-05	3.15031115510487e-05	3.75161603975932e-05
"HMR_4108"	0.00132434295759756	0.00112682590380172	0.00116356917125579	0.00201709131415497	0.00125913448987159	0.00171596154642549	0.00127962253552025	0.00112806693418688	0.0011511799862148	0.00091865445405275	0.00165702333469909	0.00160073337994182	0.0010183723755581	0.00141612599032673	0.00276157280410192	0.000989646338563217	0.000926894029642736	0.00172647838463768
"HMR_4133"	0.00132434295757805	0.00112682590378116	0.00116356917123647	0.00201709131413505	0.00125913448984999	0.00171596154640557	0.00127962253550092	0.00112806693416598	0.00115117998619375	0.00091865445403227	0.00165702333467981	0.00160073337992281	0.00101837237553846	0.00141612599031127	0.00276157280422597	0.000989646338542991	0.000926894029622603	0.00172647838461733
"HMR_4137"	0.0018087222642178	0.000943143801688238	0.001438188520529	0.00085964261003815	0.00136341635540529	0.00130757670647027	0.0014734591495359	0.00150012194026911	0.0017066065361208	0.0013583246646222	0.00155248271578834	0.00115918510309023	0.00231393496662555	0.00240173302534259	0.000738367578833311	0.00153112932285973	0.00169419587752555	0.00109415594186726
"HMR_4281"	0.160991644182267	0.155440250581582	0.148785820378641	0.134340536995175	0.165785213289029	0.139733563921369	0.150556031093288	0.157544809657166	0.161026031088397	0.144141582889152	0.170139254351086	0.157266035969569	0.159572068813535	0.14377332143766	0.159945567564011	0.157602165113574	0.150854680294504	0.152239948756759
"HMR_4388"	-0.1231269322829	-0.124187960160454	-0.130999734710251	-0.105401271144747	-0.149934296239236	-0.0997490030847268	-0.127816499385543	-0.122685172586247	-0.139588698229897	-0.107899346807014	-0.136082105513265	-0.120063902610193	-0.126287013945998	-0.0978688200581888	-0.122639781262208	-0.125943042904975	-0.126834247781959	-0.141727490356874
"HMR_4283"	0.00243791864664973	0.00214587267206346	0.00205380276425166	0.00202225611431962	0.00119399758526615	0.0015731906442025	0.00103968524323314	0.00144687660571967	0.00168348155377004	0.00116256995979066	0.0015545304869493	0.00179541018270348	0.001888291571666	0.00159332984232203	0.000779684799729717	0.00194056646650709	0.00207962599866521	0.00143448790065898
