"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88543548806018e-09	-9.88597176994754e-09	-9.88807049376933e-09	-9.88704152881008e-09	-9.88702430542911e-09	-9.43395229692861e-09	-9.88789967943453e-09	-9.88793162106793e-09	-9.88641368469978e-09	-9.88656602101555e-09	-9.88653539244235e-09	-9.88709903638332e-09	-9.88614785600459e-09	-9.88736726407894e-09	-9.65183156596383e-09	-9.88731687307411e-09	-9.88586559948026e-09	-9.88849278337375e-09
"HMR_3907"	1.78786993003138e-08	1.67680404677586e-08	2.14639798562188e-08	1.91766060948427e-08	1.96748912805426e-08	1.65976194381827e-08	1.87535702415059e-08	2.06236630611249e-08	2.05063548751097e-08	1.86667277617732e-08	1.6146369519359e-08	1.65739825515383e-08	2.02276241771192e-08	1.88599894780614e-08	1.14084446406016e-08	2.10737284002554e-08	1.86590254268972e-08	2.07661192687305e-08
"HMR_4097"	3.51081984955662e-05	2.20731378989908e-05	2.05542849645241e-05	4.23338531303009e-05	2.17707647038305e-05	9.19661059687776e-05	2.101010730249e-05	2.23680261233885e-05	2.25675016226117e-05	1.61475986282152e-05	3.31885130966196e-05	3.84408579791564e-05	2.54526203797499e-05	3.06769082603171e-05	0.000172480835130679	2.115005539149e-05	1.88047747875687e-05	2.74240709563855e-05
"HMR_4099"	1.79910852459631e-05	1.59638709104975e-05	1.89807295053207e-05	1.7764361426238e-05	1.7579177126715e-05	7.76602171972878e-05	1.97213935147112e-05	2.09469459803896e-05	1.44258183839542e-05	1.18450566461872e-05	2.61182230030569e-05	2.48038437812813e-05	2.30356599798872e-05	3.90726785358022e-05	6.39159863225845e-05	2.39533598832241e-05	1.84561841260433e-05	1.67453910716737e-05
"HMR_4108"	0.00106568002191945	0.000807106051519934	0.000734700364746551	0.00140970902150556	0.000839114377657875	0.0011292132845851	0.000799403948890641	0.000806783907706159	0.00079236055526694	0.000604547399645858	0.0011844766553179	0.00119873085350636	0.000798170606274242	0.00093584101556586	0.000871565284804843	0.000736712756691453	0.000692697681536307	0.00108220321875372
"HMR_4133"	0.0010656800218998	0.000807106051499742	0.000734700364725635	0.00140970902148508	0.000839114377636778	0.00112921285612181	0.000799403948868886	0.000806783907684421	0.000792360555247538	0.00060454739962606	0.0011844766552967	0.00119873085348528	0.000798170606254974	0.000935841015548178	0.000871565256371296	0.000736712756670212	0.000692697681515643	0.00108220321872804
"HMR_4137"	0.00149134228414548	0.000700999127918622	0.000836305928432929	0.000563427751007339	0.000830931938924993	0.00168087575160289	0.000745771403899368	0.00107129833184639	0.00135726011554961	0.00107925516599119	0.000864022605881282	0.000715466044914821	0.00199511521681876	0.00154170390425147	0.00131049457389759	0.000998080555431814	0.00131705790477112	0.000500707584738341
"HMR_4281"	0.160599068431374	0.15172527075812	0.141308949539981	0.135135014204352	0.154874992102366	0.156516062954946	0.146829300589238	0.150155686180855	0.150883921938052	0.143514410141562	0.16917963474815	0.156265344677571	0.157328648261507	0.139925316878182	0.148081667812318	0.155948953292576	0.151713488808751	0.16015021184554
"HMR_4388"	-0.116298023457787	-0.115385397900188	-0.118981622671812	-0.0969193777652137	-0.148165212511188	-0.0995801095166433	-0.129161575854435	-0.113217630232699	-0.128551933790899	-0.103376431193964	-0.142943018096271	-0.119563164986907	-0.124404993711247	-0.0839574513046256	-0.0987148568344209	-0.129996289694707	-0.123708779785391	-0.152635102577452
"HMR_4283"	0.00200809462821231	0.00159236566192269	0.00144286849403904	0.00137811206463546	0.000871594473774629	0.00180927452668087	0.000759263501464357	0.00113832189121121	0.00125615501009972	0.000902731733328872	0.00115331836837112	0.00138556787811001	0.00157860781286149	0.00120931661002443	0.00117804607336383	0.00164935362638881	0.00163208533586151	0.00107647124409543
