"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_3905"	-9.88538390942898e-09	-9.88593805330811e-09	-9.88803667762876e-09	-9.88685900718791e-09	-9.88707048626331e-09	-9.88650429407168e-09	-9.88787355940106e-09	-9.88786047917128e-09	-9.88656232589858e-09	-9.88671841088472e-09	-9.88640717424194e-09	-9.88706134028156e-09	-9.88608593830001e-09	-9.88729270375502e-09	-9.88823008164635e-09	-9.88728186831007e-09	-9.88576652911816e-09	-9.88820707175399e-09	-9.88833610223419e-09	-9.88670455137838e-09	-9.88638487957798e-09	-9.88647515748753e-09	-9.88723135430638e-09	-9.88734098158587e-09	-9.88639370072509e-09	-9.88734326471265e-09	-9.88772005192944e-09	-8.10058023175225e-10	-9.88885605715747e-09	-9.88658527278818e-09	-9.88586023676656e-09	-9.88515689859667e-09	-9.88670951565899e-09	-9.88374630732173e-09	-9.88574279247029e-09	-9.88564772643688e-09	-9.88565983217004e-09	-9.88549424482829e-09	-9.8864704859312e-09
"HMR_3907"	1.8085701999947e-08	1.68793309368271e-08	2.15764635008632e-08	1.99202763074908e-08	1.95665665081687e-08	1.86434841335786e-08	1.88890397492569e-08	2.09126733457228e-08	2.01884490455031e-08	1.82961746657571e-08	1.65430229178274e-08	1.66952477801124e-08	2.04253447590815e-08	1.91792267358946e-08	2.10215442200858e-08	2.11872530235509e-08	1.91703497464812e-08	2.19079535009332e-08	2.02894316808708e-08	1.75255444953394e-08	1.88251502232258e-08	1.76335256572118e-08	1.74959013529648e-08	1.94230784592841e-08	2.18936812224122e-08	1.96644125697253e-08	1.77730022510899e-08	-8.10055267342904e-10	1.67549409176028e-08	2.059022913965e-08	1.98738610563418e-08	1.91240833638827e-08	1.79250623467405e-08	1.76007685392192e-08	1.8722122797653e-08	1.97284004157742e-08	1.68699644757545e-08	1.99795133038897e-08	1.90211449699251e-08
"HMR_4097"	3.13064086460621e-05	2.09333410615677e-05	1.95353287295416e-05	5.2043782307788e-05	1.83975053244967e-05	2.21718552288626e-05	1.96590967123716e-05	2.14809550568247e-05	1.35073836373119e-05	1.06155499961377e-05	3.46351856812931e-05	3.68868360655208e-05	2.32747591620306e-05	2.84770200127665e-05	5.84948830191264e-05	2.09469299066323e-05	1.7601647821379e-05	3.93552652470014e-05	2.38083867891517e-05	1.23476502735742e-05	1.20559029591719e-05	2.44042751522521e-05	1.86095114453883e-05	3.36172052376347e-05	2.34374343901105e-05	2.11766397445839e-05	1.30939289929031e-05	0.000376576992989906	1.95608868914837e-05	4.18791621471846e-05	5.02178685453283e-05	3.68501790133153e-05	1.425890696148e-05	7.8887556443038e-05	5.12054209825618e-05	2.51086787268477e-05	2.52486246976581e-05	3.92671336213326e-05	1.77665831175627e-05
"HMR_4099"	1.67989600759049e-05	1.55935140324441e-05	1.86153206878358e-05	2.101723428594e-05	1.55392113202112e-05	1.06882238722756e-05	1.90540072708704e-05	2.0698822499217e-05	9.2558699699561e-06	8.61043091446941e-06	2.79450624772636e-05	2.45403676063531e-05	2.2077880087753e-05	3.76970170913601e-05	1.63778376238862e-05	2.42410428850879e-05	1.77052866709332e-05	2.25245886041334e-05	3.90464351670024e-05	1.10181308005044e-05	8.94735914728128e-06	2.71728550823775e-05	2.52424294732545e-05	1.13210187327354e-05	6.69059836367451e-06	2.1173967901461e-05	1.41620822531812e-05	0.000448263664089942	4.52884024743755e-05	2.6494226153733e-05	2.35447583237517e-05	1.37836094223645e-05	1.19707889639727e-05	2.57053796997305e-05	1.83093805669581e-05	1.48543120487597e-05	1.54454243702011e-05	2.46256102672985e-05	1.44518499334857e-05
"HMR_4108"	0.00100772661519875	0.000786358336382708	0.000716341995069182	0.00156479289079187	0.000772108792003317	0.00107352517314908	0.000774303154813179	0.000790526960937123	0.000612459962303629	0.000490741641770339	0.00121117857402252	0.00117466015679503	0.000763418491195137	0.000901638848477205	0.0024510889105575	0.000733291439417417	0.000672856311325918	0.00129871175899174	0.000824840009097032	0.000685284458755172	0.000619960991664513	0.00089743322326284	0.000775995949459532	0.00160729927662504	0.00102500946033582	0.000795375121355567	0.000649938623367456	0.000747099913957475	0.000707306427378042	0.00113436585735958	0.00154443113592711	0.00111612392640506	0.000613110743716312	0.00187675539826679	0.00153282274100183	0.000840360956008821	0.000953343321924729	0.0011286156776878	0.00070017972700248
"HMR_4133"	0.001007726615178	0.00078635833636212	0.000716341995047934	0.00156479289077537	0.000772108791978801	0.00107352517312817	0.000774303154790709	0.000790526960915545	0.000612459962212373	0.000490741641738454	0.00121117857400314	0.00117466015677373	0.000763418491175212	0.000901638848459274	0.00245108891087995	0.000733291439396425	0.000672856311304967	0.00129871175897456	0.000824840009075125	0.000685284458729593	0.000619960991635797	0.000897433223241407	0.000775995949435395	0.00160729927670198	0.0010250094517969	0.000795375121334887	0.000649938623296793	0.000747099913999311	0.000707306427355782	0.00113436585734005	0.00154443113590598	0.00111612392638642	0.000613110743633698	0.00187675539824978	0.00153282274098193	0.000840360955989528	0.000953343321898923	0.00112861567766843	0.000700179726977644
"HMR_4137"	0.00113222342174521	0.000601364142742303	0.000709202186086575	0.000763389566167755	0.000560653909620317	0.000788133289678355	0.000611370508053277	0.000928306796440387	0.000484539220741214	0.000492561151646523	0.000842324055966124	0.000607796015995853	0.00155833816779677	0.00124218546600142	0.000478980545000229	0.000915391983211665	0.001077802909663	0.000881137211356267	0.000996060327767233	0.000357731917633166	0.000330016838056526	0.00114694364267543	0.000658517450310792	0.000292427645103222	0.000516416317724301	0.000815784000219974	0.000351448998898818	0.00782928233388714	0.0006353835827247	0.00147205697835808	0.00168748710493437	0.00129525431658564	0.000395346393084119	0.00194348245210184	0.00124934121067598	0.00115382766162419	0.000995885437217107	0.00191757825264548	0.000639486300122864
"HMR_4281"	0.161214133579031	0.151446757245556	0.14066011332899	0.128916558788968	0.159100658591823	0.142614912136068	0.146851286251584	0.14830571481711	0.166453342144684	0.153480664849816	0.164721286794143	0.15543855246913	0.156822795711294	0.138411203587328	0.148434613735461	0.154405379645552	0.15116644189085	0.14592376462093	0.188263860659061	0.145753688263919	0.15651167603538	0.174633177132074	0.149946022062222	0.170663635923458	0.170531814207934	0.14703524594038	0.159517593270355	0.146123366136351	0.163231114221141	0.167176018437548	0.171648458641944	0.153168329013741	0.169511690589884	0.164864919728934	0.153073903049412	0.156003759539011	0.17502673132122	0.16927196590236	0.155102653587578
"HMR_4388"	-0.131825351488766	-0.12421942055356	-0.129136812790367	-0.0965602633056294	-0.163392882089977	-0.0931221105618947	-0.140310097903418	-0.126027059634168	-0.156616401593156	-0.121970692456918	-0.152248697727715	-0.129701177466091	-0.140389745280301	-0.100868451822889	-0.105633861207845	-0.137908469193914	-0.137461241555767	-0.14926153028339	-0.184812707252938	-0.135156892539971	-0.1244093063225	-0.172139830203298	-0.146917600919211	-0.141194208788757	-0.138573265816164	-0.13685079675504	-0.151486507887534	-0.120570864079157	-0.172436672982168	-0.138552414682515	-0.132010800533724	-0.113089062075055	-0.164021327297367	-0.1472840101526	-0.117761722330668	-0.125973334938766	-0.17044930749548	-0.157362602808089	-0.147112002825101
"HMR_4283"	0.00199127317107823	0.00158266081943708	0.00143776334793625	0.00141804770077082	0.000846341710765427	0.00108199551194287	0.000752950516454688	0.00114070614764387	0.0011482974876683	0.0008393439953221	0.00116138416170373	0.00138006337272043	0.00157474775701715	0.00120545027821041	0.000509469030732169	0.0016517978589187	0.00161718492313873	0.00115309303371749	0.00138129320730564	9.92283407438223e-05	0.00028509495935741	0.00158389385773446	0.000829015020079128	0.000448378117924422	0.000367512807960692	0.000718532262268177	0.000493805544055149	0.00350797229200072	0.00110845872594894	0.00154420977132814	0.00185878291541353	0.0023459742312376	0.00115394171760565	0.00129622348143883	0.00150489452776693	0.00277238648867688	0.00109917309385062	0.0017971151935726	0.00101754024962459
