Metabolite_Name,Reaction_ID
L-Glutamine,HMR_9063
Reduced glutathione,HMR_9351
O2,HMR_9048
D-Glucose,HMR_9034
Phosphate,HMR_9072
Chloride,HMR_9150
Sodium,HMR_9077
K+,HMR_9081
Fe2+,HMR_9076
Calcium,HMR_9082
Thiamin,HMR_9159
Riboflavin,HMR_9143
Pyridoxal,HMR_9400
Nicotinamide,HMR_9378
myo-Inositol,HMR_9359
Folate,HMR_9232
(R)-Pantothenate,HMR_9145
Choline,HMR_9083
Biotin,HMR_9109
L-Alanine,HMR_9061
L-Arginine,HMR_9066
L-Asparagine,HMR_9062
L-Aspartate,HMR_9070
L-Cysteine,HMR_9065
L-Glutamate,HMR_9071
Glycine,HMR_9067
L-Histidine,HMR_9038
L-Isoleucine,HMR_9039
L-Leucine,HMR_9040
L-Lysine,HMR_9041
L-Methionine,HMR_9042
L-Phenylalanine,HMR_9043
L-Serine,HMR_9069
L-Threonine,HMR_9044
L-Tryptophan,HMR_9045
L-Tyrosine,HMR_9064
L-Valine,HMR_9046
triacylglycerol,EX_tag_hs[e]
Guanine,HMR_9350
Adenine,HMR_9250
Cytosine,HMR_9293
Thymine,HMR_9422
Acetate,HMR_9086
formate,HMR_9318
betaine,HMR_9338
cobalamine,HMR_9266
proline,HMR_9068
uridine,HMR_9075
linoleic acid,HMR_9035
